PeakID (cmd=annotatePeaks.pl ESR1_T2E.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_1323	chr13	86163456	86164131	+	107.24	NA	Intergenic	NA	209761	NM_032229	84189	Hs.525105	NM_032229	ENSG00000184564	SLITRK6	DFNMYP	SLIT and NTRK like family member 6	protein-coding
MACS_peak_4575	chr7	44193074	44193566	+	107.21	NA	intron (NM_001354800, intron 1 of 10)	NA	5561	NM_033507	2645	Hs.1270	NM_000162	ENSG00000106633	GCK	FGQTL3|GK|GLK|HHF3|HK4|HKIV|HXKP|LGLK|MODY2	glucokinase	protein-coding
MACS_peak_815	chr11	34317749	34318376	+	107.19	NA	intron (NM_145804, intron 1 of 16)	NA	61495	NM_145804	25841	Hs.23361	NM_145804	ENSG00000166016	ABTB2	ABTB2A|BTBD22	ankyrin repeat and BTB domain containing 2	protein-coding
MACS_peak_1819	chr15	101057286	101058033	+	107.15	NA	intron (NM_001290341, intron 3 of 13)	NA	26832	NM_001290342	204219	Hs.662371	NM_178842	ENSG00000154227	CERS3	ARCI9|LASS3	ceramide synthase 3	protein-coding
MACS_peak_1356	chr14	22741096	22741772	+	107.15	NA	Intergenic	NA	160311	NR_148363	105370401	Hs.435144	NR_148361		LOC105370401	-	uncharacterized LOC105370401	ncRNA
MACS_peak_1768	chr15	81384358	81384812	+	107.14	NA	Intergenic	NA	-42026	NM_001353365	161502	Hs.130979	NM_173528	ENSG00000156206	CFAP161	C15orf26	cilia and flagella associated protein 161	protein-coding
MACS_peak_351	chr1	201567108	201567688	+	107.11	NA	Intergenic	NA	-50052	NM_020443	89796	Hs.585374	NM_020443	ENSG00000134369	NAV1	POMFIL3|STEERIN1|UNC53H1	neuron navigator 1	protein-coding
MACS_peak_1705	chr15	65137072	65137553	+	107.05	NA	intron (NM_001195059, intron 1 of 4)	NA	3198	NM_025201	80301	Hs.709337	NM_025201	ENSG00000241839	PLEKHO2	PLEKHQ1|PP1628|pp9099	pleckstrin homology domain containing O2	protein-coding
MACS_peak_1584	chr14	101874585	101875109	+	106.97	NA	promoter-TSS (NR_126006)	NA	-588	NR_126006	338002	Hs.124848	NR_126006	ENSG00000259023	LINC00524	C14orf71	long intergenic non-protein coding RNA 524	ncRNA
MACS_peak_3199	chr20	56629559	56630440	+	106.87	NA	Intergenic	NA	51039	NR_147083	105376992	Hs.736662	NR_147083	ENSG00000275852	LINC01742	-	long intergenic non-protein coding RNA 1742	ncRNA
MACS_peak_5281	chrX	26801453	26802133	+	106.80	NA	Intergenic	NA	225339	NR_001559	139538	Hs.447377	NR_001559	ENSG00000259849	VENTXP1	CT18|NA88A|VENTX2P1	VENT homeobox pseudogene 1	pseudo
MACS_peak_5268	chrX	17025253	17025817	+	106.76	NA	intron (NM_001080975, intron 2 of 17)	NA	60754	NM_001080975	9185	Hs.186810	NM_004726	ENSG00000169891	REPS2	POB1	RALBP1 associated Eps domain containing 2	protein-coding
MACS_peak_1847	chr16	1877286	1877967	+	106.72	NA	promoter-TSS (NM_005326)	NA	401	NM_001018104	81889	Hs.513265	NM_031208	ENSG00000180185	FAHD1	C16orf36|YISKL	fumarylacetoacetate hydrolase domain containing 1	protein-coding
MACS_peak_2808	chr2	109521407	109522306	+	106.69	NA	intron (NM_022336, intron 11 of 11)	NA	83820	NM_022336	10913	Hs.171971	NM_022336	ENSG00000135960	EDAR	DL|ECTD10A|ECTD10B|ED1R|ED3|ED5|EDA-A1R|EDA1R|EDA3|HRM1	ectodysplasin A receptor	protein-coding
MACS_peak_3930	chr4	87362661	87363249	+	106.68	NA	intron (NM_002753, intron 1 of 13)	NA	11393	NM_002753	5602	Hs.13438	NM_002753	ENSG00000109339	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	mitogen-activated protein kinase 10	protein-coding
MACS_peak_402	chr1	221842941	221843399	+	106.67	NA	Intergenic	NA	67072	NR_111939	11221	Hs.497822	NM_007207	ENSG00000143507	DUSP10	MKP-5|MKP5	dual specificity phosphatase 10	protein-coding
MACS_peak_3297	chr21	42514927	42515359	+	106.61	NA	non-coding (NR_024100, exon 2 of 2)	NA	4848	NR_024100	284835	Hs.106234	NR_024100	ENSG00000226496	LINC00323	C21orf130|NCRNA00323|PRED42	long intergenic non-protein coding RNA 323	ncRNA
MACS_peak_5062	chr9	83553206	83553720	+	106.59	NA	Intergenic	NA	750987	NM_001303104	7088	Hs.197320	NM_005077	ENSG00000196781	TLE1	ESG|ESG1|GRG1	TLE family member 1, transcriptional corepressor	protein-coding
MACS_peak_4157	chr5	131746969	131747454	+	106.59	NA	intron (NR_161242, intron 1 of 3)	NA	590	NR_161242	441108	Hs.658288	NM_001013717		C5orf56	-	chromosome 5 open reading frame 56	ncRNA
MACS_peak_2254	chr17	65407550	65408064	+	106.59	NA	intron (NM_181671, intron 1 of 9)	NA	34410	NM_012417	26207	Hs.591185	NM_012417	ENSG00000154217	PITPNC1	M-RDGB-beta|MRDGBbeta|RDGB-BETA|RDGBB|RDGBB1	phosphatidylinositol transfer protein cytoplasmic 1	protein-coding
MACS_peak_3242	chr21	16919814	16920380	+	106.56	NA	Intergenic	NA	-182156	NM_001283041	29761	Hs.743994	NM_013396	ENSG00000155313	USP25	USP21	ubiquitin specific peptidase 25	protein-coding
MACS_peak_748	chr10	128232325	128232644	+	106.45	NA	intron (NM_001350921, intron 2 of 9)	NA	-22422	NM_001004298	118611	Hs.587663	NM_001004298	ENSG00000154493	C10orf90	FATS|bA422P15.2	chromosome 10 open reading frame 90	protein-coding
MACS_peak_3576	chr3	49286370	49286721	+	106.45	NA	intron (NM_178173, intron 8 of 9)	NA	-25008	NR_036233	100422952		NR_036233	ENSG00000264633	MIR4271	-	microRNA 4271	ncRNA
MACS_peak_3647	chr3	72319168	72319488	+	106.45	NA	Intergenic	NA	118920	NR_038221	201617	Hs.382623	NR_038221	ENSG00000243083	LINC00870	-	long intergenic non-protein coding RNA 870	ncRNA
MACS_peak_1370	chr14	35810042	35810402	+	106.45	NA	Intergenic	NA	48634	NM_002791	5687	Hs.446260	NM_002791	ENSG00000100902	PSMA6	IOTA|PROS27|p27K	proteasome subunit alpha 6	protein-coding
MACS_peak_10	chr1	3398831	3399190	+	106.45	NA	Intergenic	NA	27781	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding
MACS_peak_786	chr11	12270108	12270451	+	106.45	NA	intron (NR_144417, intron 21 of 26)	NA	-38168	NM_032867	84953	Hs.60371	NM_032867	ENSG00000133816	MICALCL	Ebitein1	MICAL C-terminal like	protein-coding
MACS_peak_1342	chr13	112867845	112868194	+	106.45	NA	Intergenic	NA	16372	NR_108094	101928698	Hs.528451	NR_108094		LINC01070	-	long intergenic non-protein coding RNA 1070	ncRNA
MACS_peak_2292	chr17	76969036	76969313	+	106.45	NA	exon (NM_005567, exon 5 of 6)	NA	6831	NM_005567	3959	Hs.514535	NM_005567	ENSG00000108679	LGALS3BP	90K|BTBD17B|CyCAP|M2BP|MAC-2-BP|TANGO10B|gp90	galectin 3 binding protein	protein-coding
MACS_peak_850	chr11	64878196	64878559	+	106.45	NA	promoter-TSS (NM_001277233)	NA	-949	NR_102367	7108	Hs.31130	NM_003273	ENSG00000149809	TM7SF2	ANG1|C14SR|DHCR14A|NET47	transmembrane 7 superfamily member 2	protein-coding
MACS_peak_3253	chr21	32371838	32372184	+	106.45	NA	Intergenic	NA	38784	NM_001099219	728299	Hs.580875	NM_001099219	ENSG00000206102	KRTAP19-8	-	keratin associated protein 19-8	protein-coding
MACS_peak_970	chr11	100870517	100870790	+	106.45	NA	Intergenic	NA	65648	NR_145747	109616988		NR_145747		SNORD13I	-	small nucleolar RNA, C/D box 13I	snoRNA
MACS_peak_152	chr1	44105590	44105934	+	106.45	NA	Intergenic	NA	-10058	NM_014663	9682	Hs.155983	NM_014663	ENSG00000066135	KDM4A	JHDM3A|JMJD2|JMJD2A|TDRD14A	lysine demethylase 4A	protein-coding
MACS_peak_404	chr1	223385803	223386314	+	106.37	NA	Intergenic	NA	-69468	NM_003268	7100	Hs.604542	NM_003268	ENSG00000187554	TLR5	MELIOS|SLE1|SLEB1|TIL3	toll like receptor 5	protein-coding
MACS_peak_2456	chr19	7463620	7463994	+	106.37	NA	intron (NM_015318, intron 1 of 20)	NA	3776	NM_015318	23370	Hs.465761	NM_015318	ENSG00000104880	ARHGEF18	P114-RhoGEF|RP78|SA-RhoGEF|p114RhoGEF	Rho/Rac guanine nucleotide exchange factor 18	protein-coding
MACS_peak_3498	chr22	50738802	50739319	+	106.37	NA	intron (NM_012401, intron 1 of 36)	NA	7015	NM_012401	23654	Hs.3989	NM_012401	ENSG00000196576	PLXNB2	MM1|Nbla00445|PLEXB2|dJ402G11.3	plexin B2	protein-coding
MACS_peak_2667	chr2	26901884	26902452	+	106.37	NA	Intergenic	NA	-13422	NM_002246	3777	Hs.24040	NM_002246	ENSG00000171303	KCNK3	K2p3.1|OAT1|PPH4|TASK|TASK-1|TBAK1	potassium two pore domain channel subfamily K member 3	protein-coding
MACS_peak_582	chr10	71074781	71075327	+	106.37	NA	promoter-TSS (NM_033496)	NA	-556	NM_033496	3098	Hs.370365	NM_000188	ENSG00000156515	HK1	HK|HK1-ta|HK1-tb|HK1-tc|HKD|HKI|HMSNR|HXK1|RP79|hexokinase	hexokinase 1	protein-coding
MACS_peak_4171	chr5	134240882	134241251	+	106.37	NA	intron (NM_032151, intron 1 of 3)	NA	256	NM_032151	84105	Hs.710014	NM_032151	ENSG00000132570	PCBD2	DCOH2|DCOHM|PHS2	pterin-4 alpha-carbinolamine dehydratase 2	protein-coding
MACS_peak_1649	chr15	42377176	42377800	+	106.37	NA	intron (NM_178034, intron 5 of 19)	NA	9272	NM_178034	283748	Hs.380225	NM_178034	ENSG00000159337	PLA2G4D	cPLA2delta	phospholipase A2 group IVD	protein-coding
MACS_peak_1390	chr14	51431066	51431697	+	106.37	NA	Intergenic	NA	-20180	NM_002863	5836	Hs.282417	NM_002863	ENSG00000100504	PYGL	GSD6	glycogen phosphorylase L	protein-coding
MACS_peak_1314	chr13	69285865	69286360	+	106.37	NA	Intergenic	NA	173345	NR_038878	338862		NR_038878	ENSG00000281778	LINC00550	-	long intergenic non-protein coding RNA 550	ncRNA
MACS_peak_5261	chrX	12965887	12966496	+	106.37	NA	Intergenic	NA	-4772	NR_030727	349408	Hs.685035	NR_030727	ENSG00000233338	TLR8-AS1	GS1-324M7.6	TLR8 antisense RNA 1	ncRNA
MACS_peak_3067	chr20	30292127	30292600	+	106.31	NA	intron (NR_134257, intron 1 of 2)	NA	-16947	NR_131907	103021294		NR_131907	ENSG00000281376	ABALON	INXS	apoptotic BCL2L1-antisense long non-coding RNA	ncRNA
MACS_peak_4831	chr8	42749105	42749750	+	106.29	NA	intron (NM_001160225, intron 1 of 6)	NA	1991	NR_039679	100616115		NR_039679	ENSG00000284062	MIR4469	mir-4469	microRNA 4469	ncRNA
MACS_peak_1568	chr14	98596097	98596573	+	106.27	NA	Intergenic	NA	-151874	NR_152747	388011	Hs.651477	NR_015430	ENSG00000246223	LINC01550	C14orf64	long intergenic non-protein coding RNA 1550	ncRNA
MACS_peak_4869	chr8	95176942	95177566	+	106.18	NA	intron (NM_001144663, intron 10 of 17)	NA	43529	NM_004063	1015	Hs.591853	NM_004063	ENSG00000079112	CDH17	CDH16|HPT-1|HPT1	cadherin 17	protein-coding
MACS_peak_1482	chr14	75749681	75750274	+	106.15	NA	Intergenic	NA	4446	NM_005252	2353	Hs.25647	NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
MACS_peak_228	chr1	116551145	116551655	+	106.15	NA	intron (NM_018420, intron 2 of 11)	NA	-31503	NR_125970	101928977	Hs.627914	NR_125970		LOC101928977	-	uncharacterized LOC101928977	ncRNA
MACS_peak_195	chr1	94245288	94245654	+	106.05	NA	intron (NM_001261408, intron 2 of 13)	NA	-4532	NR_148965	723788	Hs.659312	NR_148965	ENSG00000137936	MIG7	-	mig-7	ncRNA
MACS_peak_3075	chr20	31171254	31171924	+	105.98	NA	intron (NM_001256798, intron 1 of 10)	NA	1546	NM_001256798	140688	Hs.516978	NM_080616	ENSG00000197183	NOL4L	C20orf112|C20orf113	nucleolar protein 4 like	protein-coding
MACS_peak_385	chr1	208013541	208013908	+	105.92	NA	Intergenic	NA	-17676	NR_135298	100128537	Hs.445414	NR_135298		MIR29B2CHG	C1orf132	MIR29B2 and MIR29C host gene	ncRNA
MACS_peak_5269	chrX	17810994	17811362	+	105.78	NA	Intergenic	NA	55565	NM_001037536	6322	Hs.109655	NM_006746	ENSG00000047634	SCML1	-	Scm polycomb group protein like 1	protein-coding
MACS_peak_1956	chr16	58767099	58767603	+	105.77	NA	intron (NM_001286220, intron 1 of 8)	NA	869	NM_001286220	2806	Hs.599470	NM_002080	ENSG00000125166	GOT2	KAT4|KATIV|KYAT4|mitAAT	glutamic-oxaloacetic transaminase 2	protein-coding
MACS_peak_3537	chr3	20227504	20228231	+	105.72	NA	promoter-TSS (NM_001012413)	NA	-142	NM_001012411	151648	Hs.105153	NM_138484	ENSG00000129810	SGO1	CAID|NY-BR-85|SGO|SGOL1	shugoshin 1	protein-coding
MACS_peak_3872	chr4	12736225	12736623	+	105.68	NA	Intergenic	NA	511349	NR_125910	101929019	Hs.434234	NR_125910	ENSG00000251210	LINC02270	-	long intergenic non-protein coding RNA 2270	ncRNA
MACS_peak_2316	chr17	80747199	80747667	+	105.54	NA	intron (NM_005993, intron 7 of 38)	NA	37492	NM_005993	6904	Hs.464391	NM_005993	ENSG00000141556	TBCD	PEBAT|SSD-1|tfcD	tubulin folding cofactor D	protein-coding
MACS_peak_2031	chr16	84215440	84216025	+	105.45	NA	intron (NM_001243159, intron 7 of 13)	NA	4931	NM_139353	9013	Hs.153022	NM_005679	ENSG00000103168	TAF1C	MGC:39976|SL1|TAFI110|TAFI95	TATA-box binding protein associated factor, RNA polymerase I subunit C	protein-coding
MACS_peak_2985	chr2	223886042	223886380	+	105.42	NA	Intergenic	NA	-30437	NM_080671	23704	Hs.348522	NM_080671	ENSG00000152049	KCNE4	MIRP3	potassium voltage-gated channel subfamily E regulatory subunit 4	protein-coding
MACS_peak_281	chr1	161088513	161089020	+	105.42	NA	promoter-TSS (NM_012394)	NA	858	NM_001185094	4817	Hs.146406	NM_005600	ENSG00000158793	NIT1	-	nitrilase 1	protein-coding
MACS_peak_2798	chr2	106015495	106015895	+	105.27	NA	promoter-TSS (NM_201555)	NA	-187	NM_001318895	2274	Hs.443687	NM_001450	ENSG00000115641	FHL2	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	four and a half LIM domains 2	protein-coding
MACS_peak_2429	chr19	1665823	1666195	+	105.25	NA	Intergenic	NA	-13395	NM_001351779	6929	Hs.371282	NM_003200	ENSG00000071564	TCF3	AGM8|E2A|E47|ITF1|TCF-3|VDIR|bHLHb21|p75	transcription factor 3	protein-coding
MACS_peak_4517	chr7	3140058	3140737	+	105.19	NA	Intergenic	NA	-56896	NM_032415	84433	Hs.648101	NM_032415	ENSG00000198286	CARD11	BENTA|BIMP3|CARMA1|IMD11|IMD11A|PPBL	caspase recruitment domain family member 11	protein-coding
MACS_peak_2642	chr2	16159147	16159946	+	105.10	NA	Intergenic	NA	-31003	NR_126559	104797537	Hs.435748	NR_126559	ENSG00000236289	GACAT3	LINC01458|lncRNA-AC130710	gastric cancer associated transcript 3	ncRNA
MACS_peak_3737	chr3	156304950	156305288	+	105.05	NA	Intergenic	NA	-32130	NM_001308197	6747	Hs.518346	NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
MACS_peak_2217	chr17	55346971	55347311	+	105.05	NA	intron (NM_001322250, intron 5 of 13)	NA	12761	NM_170721	124540	Hs.658922	NM_138962	ENSG00000153944	MSI2	MSI2H	musashi RNA binding protein 2	protein-coding
MACS_peak_4477	chr6	158461504	158461788	+	105.05	NA	intron (NM_001178088, intron 3 of 25)	NA	23521	NM_001178088	8871	Hs.434494	NM_003898	ENSG00000078269	SYNJ2	INPP5H	synaptojanin 2	protein-coding
MACS_peak_2162	chr17	38690795	38691142	+	105.05	NA	Intergenic	NA	25678	NM_001301718	1236	Hs.370036	NM_001838	ENSG00000126353	CCR7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	C-C motif chemokine receptor 7	protein-coding
MACS_peak_3536	chr3	16458788	16459435	+	105.01	NA	intron (NM_015150, intron 3 of 9)	NA	96095	NM_015150	23180	Hs.98910	NM_015150	ENSG00000131378	RFTN1	MIG2|PIB10|PIG9|RAFTLIN	raftlin, lipid raft linker 1	protein-coding
MACS_peak_4818	chr8	37448122	37448582	+	104.94	NA	Intergenic	NA	-69448	NR_121621	100507420	Hs.105962	NR_121620		LINC01605	LincDUSP	long intergenic non-protein coding RNA 1605	ncRNA
MACS_peak_3061	chr20	25477644	25478119	+	104.76	NA	intron (NM_025176, intron 9 of 23)	NA	88286	NM_001318226	22981	Hs.631508	NM_025176	ENSG00000101004	NINL	NLP	ninein like	protein-coding
MACS_peak_3394	chr22	28398961	28399436	+	104.76	NA	TTS (NR_026963)	NA	-82598	NR_036169	100423034		NR_036169	ENSG00000264073	MIR3199-1	mir-3199-1	microRNA 3199-1	ncRNA
MACS_peak_5040	chr9	71999248	71999652	+	104.74	NA	intron (NM_001127608, intron 8 of 10)	NA	55209	NM_004816	9413	Hs.118003	NM_004816	ENSG00000135063	FAM189A2	C9orf61|X123	family with sequence similarity 189 member A2	protein-coding
MACS_peak_1863	chr16	2962159	2962970	+	104.70	NA	intron (NM_001308068, intron 1 of 9)	NA	584	NM_001308068	84256	Hs.655321	NM_020912	ENSG00000059122	FLYWCH1	-	FLYWCH-type zinc finger 1	protein-coding
MACS_peak_2466	chr19	9114751	9115227	+	104.65	NA	Intergenic	NA	-22971	NM_024690	94025	Hs.432676	NM_024690	ENSG00000181143	MUC16	CA125	mucin 16, cell surface associated	protein-coding
MACS_peak_1233	chr12	123579147	123579623	+	104.65	NA	intron (NM_020845, intron 1 of 24)	NA	13454	NR_038290	100507091	Hs.683912	NR_038290	ENSG00000251497	PITPNM2-AS1	-	PITPNM2 antisense RNA 1	ncRNA
MACS_peak_1851	chr16	2079843	2080209	+	104.64	NA	intron (NM_004785, intron 2 of 6)	NA	3123	NM_004785	9351	Hs.440896	NM_004785	ENSG00000065054	SLC9A3R2	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	SLC9A3 regulator 2	protein-coding
MACS_peak_3965	chr4	126052976	126053453	+	104.54	NA	Intergenic	NA	-184353	NM_001291303	79633	Hs.563205	NM_024582	ENSG00000196159	FAT4	CDHF14|CDHR11|FAT-J|FATJ|HKLLS2|NBLA00548|VMLDS2	FAT atypical cadherin 4	protein-coding
MACS_peak_2729	chr2	66616703	66617518	+	104.50	NA	intron (NR_130931, intron 2 of 2)	NA	6672	NR_130931	729348	Hs.723595	NR_130931	ENSG00000232164	LINC01873	-	long intergenic non-protein coding RNA 1873	ncRNA
MACS_peak_1655	chr15	44788545	44789210	+	104.48	NA	intron (NM_016396, intron 6 of 12)	NA	40221	NR_034171	645212	Hs.594287	NR_034170		EIF3J-DT	EIF3J-AS1	EIF3J divergent transcript	ncRNA
MACS_peak_2885	chr2	157981711	157982123	+	104.46	NA	Intergenic	NA	-132300	NM_014568	11227	Hs.269027	NM_014568	ENSG00000136542	GALNT5	GALNAC-T5|GALNACT5	polypeptide N-acetylgalactosaminyltransferase 5	protein-coding
MACS_peak_3443	chr22	38300809	38301397	+	104.43	NA	Intergenic	NA	-1201	NM_033386	85377	Hs.517610	NM_033386	ENSG00000100139	MICALL1	MICAL-L1|MIRAB13	MICAL like 1	protein-coding
MACS_peak_1959	chr16	65913351	65914213	+	104.42	NA	Intergenic	NA	-303579	NR_027755	283867	Hs.444774	NM_001101346	ENSG00000261742	LINC00922	-	long intergenic non-protein coding RNA 922	ncRNA
MACS_peak_1573	chr14	99608050	99608693	+	104.37	NA	Intergenic	NA	130163	NM_022898	64919	Hs.709690	NM_022898	ENSG00000127152	BCL11B	ATL1|ATL1-alpha|ATL1-beta|ATL1-delta|ATL1-gamma|CTIP-2|CTIP2|IDDFSTA|IMD49|RIT1|ZNF856B|hRIT1-alpha	BAF chromatin remodeling complex subunit BCL11B	protein-coding
MACS_peak_1066	chr12	32497042	32497631	+	104.33	NA	intron (NR_148725, intron 8 of 9)	NA	-55156	NM_001370298	121512	Hs.117835	NM_139241	ENSG00000139132	FGD4	CMT4H|FRABP|ZFYVE6	FYVE, RhoGEF and PH domain containing 4	protein-coding
MACS_peak_3738	chr3	156355300	156355891	+	104.26	NA	Intergenic	NA	-36784	NM_015508	25976	Hs.744050	NM_015508	ENSG00000163659	TIPARP	ARTD14|PARP7|pART14	TCDD inducible poly(ADP-ribose) polymerase	protein-coding
MACS_peak_2526	chr19	33516538	33516918	+	104.21	NA	intron (NM_033103, intron 3 of 14)	NA	39066	NM_033103	85415	Hs.466435	NM_033103	ENSG00000131941	RHPN2	P76RBE|RHOBP	rhophilin Rho GTPase binding protein 2	protein-coding
MACS_peak_4892	chr8	101731640	101732265	+	104.21	NA	intron (NM_002568, intron 1 of 14)	NA	2364	NM_002568	26986	Hs.387804	NM_002568	ENSG00000070756	PABPC1	PAB1|PABP|PABP1|PABPC2|PABPL1	poly(A) binding protein cytoplasmic 1	protein-coding
MACS_peak_4060	chr5	35306599	35307241	+	104.18	NA	Intergenic	NA	-76331	NM_000949	5618	Hs.368587	NM_000949	ENSG00000113494	PRLR	HPRL|MFAB|RI-PRLR|hPRLrI	prolactin receptor	protein-coding
MACS_peak_1191	chr12	115836058	115836713	+	104.17	NA	Intergenic	NA	-714405	NM_005996	6926	Hs.744016	NM_005996	ENSG00000135111	TBX3	TBX3-ISO|UMS|XHL	T-box transcription factor 3	protein-coding
MACS_peak_4105	chr5	68611706	68612224	+	104.15	NA	intron (NM_176816, intron 2 of 11)	NA	16655	NM_001297697	202243	Hs.654850	NM_176816	ENSG00000183323	CCDC125	KENAE	coiled-coil domain containing 125	protein-coding
MACS_peak_5009	chr9	14452475	14452956	+	104.10	NA	intron (NM_001369459, intron 1 of 11)	NA	-53733	NM_001190738	4781	Hs.644095	NM_005596	ENSG00000147862	NFIB	CTF|HMGIC/NFIB|MACID|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	nuclear factor I B	protein-coding
MACS_peak_3468	chr22	43018355	43018736	+	104.08	NA	intron (NM_001129819, intron 8 of 8)	NA	7294	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
MACS_peak_3802	chr3	189176084	189176908	+	103.98	NA	Intergenic	NA	-138039	NM_001329964	8626	Hs.137569	NM_003722	ENSG00000073282	TP63	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	tumor protein p63	protein-coding
MACS_peak_2026	chr16	83878310	83878924	+	103.97	NA	Intergenic	NA	37034	NM_001537	3281	Hs.250899	NM_001537	ENSG00000230989	HSBP1	NPC-A-13	heat shock factor binding protein 1	protein-coding
MACS_peak_4751	chr8	1716932	1717679	+	103.94	NA	intron (NM_018941, intron 1 of 2)	NA	-4555	NR_134303	101927752	Hs.356690	NR_134302	ENSG00000253982	LOC101927752	-	uncharacterized LOC101927752	ncRNA
MACS_peak_3318	chr21	44799623	44800201	+	103.78	NA	Intergenic	NA	-17683	NR_131902	101928399	Hs.517319	NR_131902	ENSG00000237989	LINC01679	TCONS_00029157	long intergenic non-protein coding RNA 1679	ncRNA
MACS_peak_1261	chr12	131769485	131769969	+	103.77	NA	Intergenic	NA	12790	NR_135045	107161159	Hs.730119	NR_135045	ENSG00000248703	LINC02415	-	long intergenic non-protein coding RNA 2415	ncRNA
MACS_peak_414	chr1	228267796	228268658	+	103.70	NA	Intergenic	NA	-2134	NM_001024226	375	Hs.286221	NM_001658	ENSG00000143761	ARF1	PVNH8	ADP ribosylation factor 1	protein-coding
MACS_peak_4551	chr7	26729052	26729638	+	103.61	NA	intron (NM_001303468, intron 10 of 12)	NA	51855	NR_161202	285941	Hs.413394	NR_161201		C7orf71	-	chromosome 7 open reading frame 71	ncRNA
MACS_peak_2724	chr2	65048692	65049053	+	103.56	NA	Intergenic	NA	41893	NR_110224	101927438	Hs.580313	NR_110224	ENSG00000234572	LINC01800	-	long intergenic non-protein coding RNA 1800	ncRNA
MACS_peak_1288	chr13	39223841	39224502	+	103.54	NA	intron (NR_126377, intron 2 of 2)	NA	36641	NR_126377	101929121	Hs.618449	NR_126377		LINC00437	TCONS_00021639	long intergenic non-protein coding RNA 437	ncRNA
MACS_peak_2226	chr17	57297553	57298297	+	103.50	NA	promoter-TSS (NM_001165993)	NA	53	NM_001165994	284161	Hs.631744	NM_182569	ENSG00000153982	GDPD1	GDE4	glycerophosphodiester phosphodiesterase domain containing 1	protein-coding
MACS_peak_3451	chr22	39866363	39867209	+	103.50	NA	intron (NM_002409, intron 1 of 1)	NA	6041	NR_126469	104502417	Hs.586031	NR_126469	ENSG00000227188	MGAT3-AS1	TapSAKI	MGAT3 antisense RNA 1	ncRNA
MACS_peak_552	chr10	48331832	48332422	+	103.48	NA	promoter-TSS (NR_134500)	NA	70	NR_134500	107001062	Hs.576719	NR_134500		LOC107001062	-	uncharacterized LOC107001062	ncRNA
MACS_peak_3300	chr21	43186867	43187831	+	103.47	NA	promoter-TSS (NM_020639)	NA	-137	NM_020639	54101	Hs.517310	NM_020639	ENSG00000183421	RIPK4	ANKK2|ANKRD3|CHANDS|DIK|NKRD3|PKK|PPS2|RIP4	receptor interacting serine/threonine kinase 4	protein-coding
MACS_peak_1951	chr16	56586297	56586634	+	103.44	NA	Intergenic	NA	-12520	NM_032935	84560	Hs.567624	NM_032935	ENSG00000102891	MT4	MT-4|MT-IV|MTIV	metallothionein 4	protein-coding
MACS_peak_3699	chr3	128079151	128079537	+	103.44	NA	intron (NM_021937, intron 6 of 6)	NA	-103093	NR_037890	285224	Hs.683815	NR_037890	ENSG00000242049	DNAJB8-AS1	-	DNAJB8 antisense RNA 1	ncRNA
MACS_peak_4266	chr6	12844282	12844918	+	103.41	NA	intron (NM_030948, intron 4 of 14)	NA	-112988	NM_001322311	221692	Hs.436996	NM_030948	ENSG00000112137	PHACTR1	EIEE70|RPEL|RPEL1|dJ257A7.2	phosphatase and actin regulator 1	protein-coding
MACS_peak_4859	chr8	91012691	91013428	+	103.31	NA	promoter-TSS (NM_001359)	NA	-521	NM_001330575	1666	Hs.492212	NM_001359	ENSG00000104325	DECR1	DECR|NADPH|SDR18C1	2,4-dienoyl-CoA reductase 1	protein-coding
MACS_peak_5280	chrX	24208515	24209143	+	103.29	NA	intron (NM_001178084, intron 3 of 7)	NA	40983	NM_001178095	7543	Hs.336681	NM_003410	ENSG00000005889	ZFX	ZNF926	zinc finger protein X-linked	protein-coding
MACS_peak_4258	chr6	9497036	9497533	+	103.21	NA	Intergenic	NA	844842	NR_004855	728655	Hs.214343	NR_004855		HULC	HCCAT1|LINC00078|NCRNA00078	hepatocellular carcinoma up-regulated long non-coding RNA	ncRNA
