PeakID (cmd=annotatePeaks.pl ESR1_T2D.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_75	chr10	4746346	4746486	+	72.84	NA	Intergenic	NA	-26154	NR_024475	100216001	Hs.634869	NR_024475	ENSG00000231298	MANCR	LINC00704	mitotically associated long non coding RNA	ncRNA
MACS_peak_388	chr17	47965070	47965252	+	72.76	NA	Intergenic	NA	-39782	NM_001077504	255061	Hs.652130	NM_170685	ENSG00000176358	TAC4	EK|HK-1|HK1|PPT-C	tachykinin 4	protein-coding
MACS_peak_458	chr19	51072845	51073033	+	72.75	NA	Intergenic	NA	-1247	NM_001080457	94030	Hs.120873	NM_001080457	ENSG00000131409	LRRC4B	HSM|LRIG4|NGL-3	leucine rich repeat containing 4B	protein-coding
MACS_peak_88	chr10	22921975	22922187	+	72.61	NA	intron (NM_005028, intron 1 of 9)	NA	80956	NM_001330062	5305	Hs.57079	NM_005028	ENSG00000150867	PIP4K2A	PI5P4KA|PIP5K2A|PIP5KII-alpha|PIP5KIIA|PIPK	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	protein-coding
MACS_peak_23	chr1	61962150	61962359	+	72.60	NA	Intergenic	NA	-157660	NR_073400	414927	Hs.123471	NR_073400		MGC34796	-	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) pseudogene	pseudo
MACS_peak_255	chr14	75389130	75389290	+	72.28	NA	promoter-TSS (NM_031464)	NA	-65	NR_163406	83694	Hs.414481	NM_031464	ENSG00000198208	RPS6KL1	RSKL2	ribosomal protein S6 kinase like 1	protein-coding
MACS_peak_924	chr9	89656589	89656811	+	72.16	NA	intron (NR_027471, intron 1 of 1)	NA	341	NR_027471	440173	Hs.127361	NR_027471	ENSG00000269994	LOC440173	-	uncharacterized LOC440173	ncRNA
MACS_peak_453	chr19	45221864	45222046	+	72.12	NA	Intergenic	NA	19534	NM_001039213	388551	Hs.456381	NM_001039213	ENSG00000213892	CEACAM16	CEAL2|DFNA4B|DFNB113	carcinoembryonic antigen related cell adhesion molecule 16	protein-coding
MACS_peak_633	chr3	10475050	10475160	+	71.66	NA	intron (NM_001001331, intron 2 of 22)	NA	-38859	NR_030614	100126334		NR_030614	ENSG00000216135	MIR885	MIRN885|hsa-mir-885|mir-885	microRNA 885	ncRNA
MACS_peak_227	chr13	72287154	72287474	+	71.57	NA	intron (NM_080760, intron 2 of 8)	NA	154016	NM_004392	1602	Hs.129452	NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
MACS_peak_678	chr3	159366023	159366237	+	71.41	NA	intron (NM_001197108, intron 1 of 6)	NA	120271	NR_121669	100874433	Hs.601476	NR_121669		IQCJ-SCHIP1-AS1	uaz98	IQCJ-SCHIP1 readthrough antisense RNA 1	ncRNA
MACS_peak_904	chr8	128813048	128813312	+	71.20	NA	intron (NR_003367, intron 1 of 8)	NA	4972	NR_031609	100302185		NR_031609	ENSG00000283710	MIR1204	hsa-mir-1204	microRNA 1204	ncRNA
MACS_peak_667	chr3	141120919	141121206	+	71.20	NA	promoter-TSS (NM_001350100)	NA	-129	NM_001350100	253461	Hs.518301	NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
MACS_peak_278	chr14	100894197	100894387	+	71.16	NA	intron (NM_001350949, intron 2 of 6)	NA	51470	NM_024515	79446	Hs.497599	NM_024515	ENSG00000176473	WDR25	C14orf67	WD repeat domain 25	protein-coding
MACS_peak_203	chr12	101346562	101346762	+	70.73	NA	intron (NM_178826, intron 4 of 26)	NA	51238	NM_001286616	121601	Hs.58785	NM_178826	ENSG00000151572	ANO4	TMEM16D	anoctamin 4	protein-coding
MACS_peak_836	chr7	65841832	65842084	+	70.57	NA	non-coding (NR_026873, exon 5 of 5)	NA	23437	NR_026873	285908	Hs.50755	NM_181722	ENSG00000179406	LINC00174	NCRNA00174	long intergenic non-protein coding RNA 174	ncRNA
MACS_peak_387	chr17	46002834	46002962	+	70.50	NA	exon (NM_003110, exon 6 of 7)	NA	15872	NR_103857	100506325	Hs.656008	NR_103856	ENSG00000234494	SP2-AS1	-	SP2 antisense RNA 1	ncRNA
MACS_peak_916	chr9	36788414	36788616	+	70.41	NA	Intergenic	NA	35081	NR_039686	100616289		NR_039686	ENSG00000266255	MIR4475	-	microRNA 4475	ncRNA
MACS_peak_400	chr17	60247875	60248122	+	70.01	NA	Intergenic	NA	105018	NR_027486	440452	Hs.448884	NR_027486	ENSG00000188755	TBC1D3P2	-	TBC1 domain family member 3 pseudogene 2	pseudo
MACS_peak_90	chr10	23133426	23133746	+	69.99	NA	Intergenic	NA	-83367	NM_001282747	219681	Hs.659807	NM_173081	ENSG00000165309	ARMC3	CT81|KU-CT-1	armadillo repeat containing 3	protein-coding
MACS_peak_773	chr6	1641661	1641934	+	69.99	NA	intron (NM_001253846, intron 9 of 10)	NA	31647	NM_001453	2296	Hs.348883	NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
MACS_peak_609	chr22	29774150	29774407	+	69.99	NA	intron (NM_001127, intron 1 of 22)	NA	10281	NM_001166019	162	Hs.368794	NM_001127	ENSG00000100280	AP1B1	ADTB1|AP105A|BAM22|CLAPB2	adaptor related protein complex 1 subunit beta 1	protein-coding
MACS_peak_799	chr6	117803762	117804081	+	69.99	NA	promoter-TSS (NM_001366458)	NA	84	NR_158983	285761	Hs.658304	NM_173674	ENSG00000164465	DCBLD1	dJ94G16.1	discoidin, CUB and LCCL domain containing 1	protein-coding
MACS_peak_94	chr10	29414000	29414275	+	69.99	NA	Intergenic	NA	-163862	NM_032517	84569	Hs.558572	NM_032517	ENSG00000120563	LYZL1	KAAG648|LYC2|LYZD1|PRO1278|bA534G20.1	lysozyme like 1	protein-coding
MACS_peak_296	chr15	53645733	53645978	+	69.99	NA	Intergenic	NA	187194	NR_102336	256764	Hs.122125	NM_182758	ENSG00000166415	WDR72	AI2A3	WD repeat domain 72	protein-coding
MACS_peak_535	chr2	190886785	190887032	+	69.99	NA	Intergenic	NA	40547	NM_005259	2660	Hs.41565	NM_005259	ENSG00000138379	MSTN	GDF8|MSLHP	myostatin	protein-coding
MACS_peak_52	chr1	173446010	173446278	+	69.99	NA	promoter-TSS (NM_004905)	NA	150	NR_037845	100506023	Hs.731284	NR_037845		LOC100506023	-	uncharacterized LOC100506023	ncRNA
MACS_peak_551	chr20	2188326	2188564	+	69.99	NA	intron (NR_161305, intron 1 of 1)	NA	871	NR_161305	388780	Hs.132163	NR_161305		LOC388780	-	uncharacterized LOC388780	ncRNA
MACS_peak_354	chr16	75953456	75953667	+	69.89	NA	Intergenic	NA	-193173	NM_001355613	105371346		NM_001355613	ENSG00000283755	CPHXL	-	cytoplasmic polyadenylated homeobox like	protein-coding
MACS_peak_437	chr19	11639595	11639839	+	69.62	NA	promoter-TSS (NM_001243204)	NA	-37	NM_001243204	51295	Hs.515146	NM_016581	ENSG00000130159	ECSIT	SITPEC	ECSIT signalling integrator	protein-coding
MACS_peak_495	chr2	98703541	98703842	+	69.62	NA	promoter-TSS (NR_144296)	NA	61	NR_144296	200403	Hs.269977	NM_144992	ENSG00000168658	VWA3B	SCAR22	von Willebrand factor A domain containing 3B	protein-coding
MACS_peak_947	chr9	127512213	127512464	+	69.55	NA	intron (NM_001278546, intron 1 of 9)	NA	21252	NM_001489	2649	Hs.20131	NM_001489	ENSG00000148200	NR6A1	CT150|GCNF|GCNF1|NR61|RTR|hGCNF|hRTR	nuclear receptor subfamily 6 group A member 1	protein-coding
MACS_peak_944	chr9	126742262	126742400	+	69.44	NA	Intergenic	NA	29344	NR_135129	100505588	Hs.547168	NR_135129	ENSG00000236668	LOC100505588	-	uncharacterized LOC100505588	ncRNA
MACS_peak_144	chr11	35411455	35411695	+	69.35	NA	intron (NM_001252652, intron 1 of 11)	NA	29530	NM_004171	6506	Hs.502338	NM_004171	ENSG00000110436	SLC1A2	EAAT2|EIEE41|GLT-1|HBGT	solute carrier family 1 member 2	protein-coding
MACS_peak_744	chr5	28500575	28500782	+	69.30	NA	Intergenic	NA	-212906	NR_134265	105374698	Hs.124461	NR_134265	ENSG00000249785	LINC02103	-	long intergenic non-protein coding RNA 2103	ncRNA
MACS_peak_845	chr7	86440006	86440207	+	69.14	NA	intron (NM_001363522, intron 3 of 4)	NA	155109	NM_152748	222223	Hs.208093	NM_152748	ENSG00000164659	KIAA1324L	EIG121L	KIAA1324 like	protein-coding
MACS_peak_672	chr3	150562291	150562492	+	69.14	NA	Intergenic	NA	60835	NM_001351281	646951	Hs.380222	NM_001351281		MINDY4B	C3orf76|FAM188B2	MINDY family member 4B	protein-coding
MACS_peak_764	chr5	133372965	133373176	+	68.99	NA	Intergenic	NA	-32404	NM_003374	7416	Hs.519320	NM_003374	ENSG00000213585	VDAC1	PORIN|VDAC-1	voltage dependent anion channel 1	protein-coding
MACS_peak_718	chr4	94503520	94503731	+	68.99	NA	intron (NM_001510, intron 13 of 15)	NA	-246279	NM_005172	474	Hs.532680	NM_005172	ENSG00000172238	ATOH1	ATH1|HATH1|MATH-1|bHLHa14	atonal bHLH transcription factor 1	protein-coding
MACS_peak_189	chr12	63880720	63880975	+	68.98	NA	Intergenic	NA	181426	NM_173812	283417	Hs.533644	NM_173812	ENSG00000177990	DPY19L2	SPATA34|SPGF9	dpy-19 like 2	protein-coding
MACS_peak_766	chr5	167743479	167743724	+	68.61	NA	intron (NM_001161662, intron 1 of 22)	NA	24951	NM_001161662	23286	Hs.484047	NM_015238	ENSG00000113645	WWC1	HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168	WW and C2 domain containing 1	protein-coding
MACS_peak_692	chr3	184315687	184315901	+	68.53	NA	Intergenic	NA	36221	NM_004443	2049	Hs.2913	NM_004443	ENSG00000182580	EPHB3	EK2|ETK2|HEK2|TYRO6	EPH receptor B3	protein-coding
MACS_peak_283	chr14	105040753	105040930	+	68.33	NA	Intergenic	NA	-5260	NM_001286399	400258	Hs.153827	NM_001008404	ENSG00000184601	C14orf180	C14orf77|NRAC	chromosome 14 open reading frame 180	protein-coding
MACS_peak_812	chr7	1400767	1401070	+	68.00	NA	Intergenic	NA	98188	NM_182924	79778	Hs.376617	NM_024723	ENSG00000164877	MICALL2	JRAB|MICAL-L2	MICAL like 2	protein-coding
MACS_peak_34	chr1	114576715	114577018	+	67.88	NA	Intergenic	NA	54770	NM_020190	56944	Hs.9315	NM_020190	ENSG00000116774	OLFML3	HNOEL-iso|OLF44	olfactomedin like 3	protein-coding
MACS_peak_831	chr7	54202914	54203123	+	67.86	NA	Intergenic	NA	-195372	NR_120515	102723605	Hs.154626	NR_120515	ENSG00000231427	LINC01445	-	long intergenic non-protein coding RNA 1445	ncRNA
MACS_peak_525	chr2	169439114	169439328	+	67.77	NA	promoter-TSS (NR_039933)	NA	-232	NR_039933	100616356		NR_039933	ENSG00000265694	MIR4774	-	microRNA 4774	ncRNA
MACS_peak_465	chr2	11671118	11671362	+	67.65	NA	Intergenic	NA	-2931	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_555	chr20	25667422	25667642	+	67.63	NA	promoter-TSS (NM_001290261)	NA	43	NM_001290261	26152	Hs.61881	NM_015655	ENSG00000130684	ZNF337	-	zinc finger protein 337	protein-coding
MACS_peak_101	chr10	42379211	42379299	+	67.40	NA	Intergenic	NA	484238	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
MACS_peak_351	chr16	73670578	73670750	+	67.36	NA	Intergenic	NA	249960	NR_038234	100506172	Hs.434230	NR_038234	ENSG00000258779	LINC01568	-	long intergenic non-protein coding RNA 1568	ncRNA
MACS_peak_756	chr5	84594306	84594448	+	67.34	NA	Intergenic	NA	-913679	NM_005711	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF like repeats and discoidin domains 3	protein-coding
MACS_peak_614	chr22	32066683	32066892	+	67.11	NA	Intergenic	NA	-8237	NM_001326412	23761	Hs.420559	NM_014338	ENSG00000241878	PISD	DJ858B16|PSD|PSDC|PSSC|dJ858B16.2	phosphatidylserine decarboxylase	protein-coding
MACS_peak_12	chr1	31841750	31841900	+	67.04	NA	intron (NM_004102, intron 2 of 3)	NA	4098	NM_004102	2170	Hs.576372	NM_004102	ENSG00000121769	FABP3	FABP11|H-FABP|M-FABP|MDGI|O-FABP	fatty acid binding protein 3	protein-coding
MACS_peak_275	chr14	99536905	99537106	+	66.93	NA	Intergenic	NA	201529	NM_022898	64919	Hs.709690	NM_022898	ENSG00000127152	BCL11B	ATL1|ATL1-alpha|ATL1-beta|ATL1-delta|ATL1-gamma|CTIP-2|CTIP2|IDDFSTA|IMD49|RIT1|ZNF856B|hRIT1-alpha	BAF chromatin remodeling complex subunit BCL11B	protein-coding
MACS_peak_654	chr3	75754946	75755084	+	66.85	NA	Intergenic	NA	-32416	NR_036235	100422955		NR_036235	ENSG00000266396	MIR4273	-	microRNA 4273	ncRNA
MACS_peak_823	chr7	32102018	32102216	+	66.72	NA	intron (NM_001322057, intron 2 of 17)	NA	7902	NM_001191057	5137	Hs.143821	NM_005020	ENSG00000154678	PDE1C	DFNA74|Hcam3|cam-PDE 1C|hCam-3	phosphodiesterase 1C	protein-coding
MACS_peak_522	chr2	162005061	162005285	+	66.62	NA	intron (NM_004180, intron 1 of 7)	NA	11699	NM_004180	10010	Hs.132257	NM_004180	ENSG00000136560	TANK	I-TRAF|ITRAF|TRAF2	TRAF family member associated NFKB activator	protein-coding
MACS_peak_328	chr16	1358586	1358895	+	66.52	NA	promoter-TSS (NM_194261)	NA	-413	NM_194261	7329	Hs.302903	NM_003345	ENSG00000103275	UBE2I	C358B7.1|P18|UBC9	ubiquitin conjugating enzyme E2 I	protein-coding
MACS_peak_438	chr19	14667619	14667807	+	66.38	NA	intron (NM_001321170, intron 2 of 13)	NA	15165	NM_004146	4713	Hs.532853	NM_004146	ENSG00000099795	NDUFB7	B18|CI-B18	NADH:ubiquinone oxidoreductase subunit B7	protein-coding
MACS_peak_983	chrY	13460959	13461334	+	66.37	NA	Intergenic	NA	1072243	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
MACS_peak_651	chr3	71932555	71932709	+	66.28	NA	Intergenic	NA	-98333	NM_021935	60675	Hs.528665	NM_021935	ENSG00000163421	PROK2	BV8|HH4|KAL4|MIT1|PK2	prokineticin 2	protein-coding
MACS_peak_391	chr17	53828278	53828482	+	66.28	NA	promoter-TSS (NM_021213)	NA	-32	NM_001330377	58488	Hs.285218	NM_021213	ENSG00000141179	PCTP	PC-TP|STARD2	phosphatidylcholine transfer protein	protein-coding
MACS_peak_481	chr2	40427556	40427722	+	66.15	NA	intron (NM_001351488, intron 2 of 8)	NA	229805	NM_001112800	6546	Hs.31961	NM_021097	ENSG00000183023	SLC8A1	NCX1	solute carrier family 8 member A1	protein-coding
MACS_peak_165	chr11	91970314	91970469	+	66.10	NA	intron (NM_001367949, intron 1 of 27)	NA	12191	NM_001367949	120114	Hs.98523	NM_001008781	ENSG00000165323	FAT3	CDHF15|CDHR10|hFat3	FAT atypical cadherin 3	protein-coding
MACS_peak_665	chr3	139515227	139515382	+	66.10	NA	Intergenic	NA	-118412	NM_001320513	349565	Hs.208673	NM_178177	ENSG00000163864	NMNAT3	FKSG76|PNAT-3|PNAT3	nicotinamide nucleotide adenylyltransferase 3	protein-coding
MACS_peak_92	chr10	26691718	26691873	+	66.10	NA	Intergenic	NA	-35475	NM_019043	54518	Hs.310421	NM_019043	ENSG00000077420	APBB1IP	INAG1|PREL1|RARP1|RIAM	amyloid beta precursor protein binding family B member 1 interacting protein	protein-coding
MACS_peak_65	chr1	202304570	202304740	+	65.95	NA	intron (NM_014176, intron 2 of 6)	NA	6409	NM_014176	29089	Hs.5199	NM_014176	ENSG00000077152	UBE2T	FANCT|HSPC150|PIG50	ubiquitin conjugating enzyme E2 T	protein-coding
MACS_peak_127	chr10	111217358	111217514	+	65.91	NA	Intergenic	NA	465568	NM_001324136	7511	Hs.390623	NM_020383	ENSG00000108039	XPNPEP1	APP1|SAMP|XPNPEP|XPNPEPL|XPNPEPL1	X-prolyl aminopeptidase 1	protein-coding
MACS_peak_352	chr16	74235575	74235734	+	65.87	NA	intron (NR_104657, intron 3 of 3)	NA	13766	NR_104657	101928035	Hs.39557	NR_104657	ENSG00000261404	LOC101928035	-	uncharacterized LOC101928035	ncRNA
MACS_peak_138	chr11	1817834	1817992	+	65.55	NA	Intergenic	NA	-32756	NM_001909	1509	Hs.654447	NM_001909	ENSG00000117984	CTSD	CLN10|CPSD|HEL-S-130P	cathepsin D	protein-coding
MACS_peak_934	chr9	108675012	108675263	+	65.41	NA	Intergenic	NA	218315	NM_018112	55151	Hs.411925	NM_018112	ENSG00000095209	TMEM38B	C9orf87|D4Ertd89e|OI14|TRIC-B|TRICB|bA219P18.1	transmembrane protein 38B	protein-coding
MACS_peak_302	chr15	64391047	64391302	+	65.35	NA	intron (NM_003099, intron 1 of 14)	NA	2993	NM_001242933	6642	Hs.188634	NM_003099	ENSG00000028528	SNX1	HsT17379|VPS5	sorting nexin 1	protein-coding
MACS_peak_54	chr1	175156262	175156629	+	65.35	NA	intron (NM_001162894, intron 1 of 3)	NA	5467	NM_001319231	9674	Hs.518138	NM_014656	ENSG00000235750	KIAA0040	-	KIAA0040	protein-coding
MACS_peak_543	chr2	216997331	216997526	+	65.20	NA	intron (NM_021141, intron 10 of 20)	NA	23357	NM_021141	7520	Hs.388739	NM_021141	ENSG00000079246	XRCC5	KARP-1|KARP1|KU80|KUB2|Ku86|NFIV	X-ray repair cross complementing 5	protein-coding
MACS_peak_984	chrY	13467805	13467930	+	65.04	NA	Intergenic	NA	1065522	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
MACS_peak_575	chr20	53155811	53156566	+	64.99	NA	intron (NM_018431, intron 1 of 7)	NA	64056	NM_177959	55816	Hs.473133	NM_018431	ENSG00000101134	DOK5	C20orf180|IRS-6|IRS6	docking protein 5	protein-coding
MACS_peak_51	chr1	172609740	172609854	+	64.86	NA	Intergenic	NA	-18351	NM_001302746	356	Hs.2007	NM_000639	ENSG00000117560	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	Fas ligand	protein-coding
MACS_peak_370	chr17	991020	991182	+	64.83	NA	intron (NM_001092, intron 3 of 21)	NA	-8868	NM_001282149	29	Hs.159306	NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
MACS_peak_918	chr9	75666192	75666395	+	64.55	NA	Intergenic	NA	-98324	NM_000689	216	Hs.76392	NM_000689	ENSG00000165092	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	aldehyde dehydrogenase 1 family member A1	protein-coding
MACS_peak_26	chr1	85225479	85225702	+	64.55	NA	Intergenic	NA	-69439	NM_001166295	117178	Hs.22587	NM_014021	ENSG00000117155	SSX2IP	ADIP|hMsd1	SSX family member 2 interacting protein	protein-coding
MACS_peak_263	chr14	87320057	87320256	+	64.55	NA	Intergenic	NA	-51966	NR_038445	283585	Hs.381998	NR_038445	ENSG00000258804	LINC01148	-	long intergenic non-protein coding RNA 1148	ncRNA
MACS_peak_798	chr6	111913890	111914107	+	64.55	NA	intron (NM_147686, intron 1 of 8)	NA	13083	NM_147200	10758	Hs.561514	NM_147200	ENSG00000056972	TRAF3IP2	ACT1|C6orf2|C6orf4|C6orf5|C6orf6|CANDF8|CIKS|PSORS13	TRAF3 interacting protein 2	protein-coding
MACS_peak_846	chr7	88312784	88312961	+	64.55	NA	Intergenic	NA	-76142	NM_181646	219578	Hs.684410	NM_181646	ENSG00000182348	ZNF804B	-	zinc finger protein 804B	protein-coding
MACS_peak_965	chrX	17843890	17844077	+	64.55	NA	intron (NM_001172732, intron 1 of 2)	NA	34964	NR_033348	10742	Hs.446680	NM_021785	ENSG00000131831	RAI2	-	retinoic acid induced 2	protein-coding
MACS_peak_946	chr9	127257977	127258140	+	64.55	NA	intron (NM_004959, intron 4 of 6)	NA	11620	NM_004959	2516	Hs.495108	NM_004959	ENSG00000136931	NR5A1	AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXX4|SRXY3|hSF-1	nuclear receptor subfamily 5 group A member 1	protein-coding
MACS_peak_347	chr16	69037511	69037710	+	64.55	NA	intron (NM_024562, intron 15 of 17)	NA	-101946	NM_001199280	3038	Hs.592069	NM_005329	ENSG00000103044	HAS3	-	hyaluronan synthase 3	protein-coding
MACS_peak_603	chr21	46815480	46815651	+	64.55	NA	Intergenic	NA	-9515	NM_130445	80781	Hs.517356	NM_030582	ENSG00000182871	COL18A1	KNO|KNO1|KS	collagen type XVIII alpha 1 chain	protein-coding
MACS_peak_627	chr3	1564728	1564919	+	64.55	NA	Intergenic	NA	430115	NM_001349359	27255	Hs.387300	NM_014461	ENSG00000134115	CNTN6	NB3	contactin 6	protein-coding
MACS_peak_56	chr1	178624881	178625026	+	64.55	NA	Intergenic	NA	-21931	NR_039622	100616328		NR_039622	ENSG00000266417	MIR4424	-	microRNA 4424	ncRNA
MACS_peak_298	chr15	57752353	57752531	+	64.55	NA	intron (NM_032866, intron 7 of 18)	NA	83739	NM_001252335	84952	Hs.148989	NM_032866	ENSG00000128849	CGNL1	JACOP|PCING	cingulin like 1	protein-coding
MACS_peak_966	chrX	37853246	37853410	+	64.48	NA	Intergenic	NA	3296	NM_012274	25763	Hs.122959	NM_012274	ENSG00000187516	HYPM	CXorf27|HIP17	huntingtin interacting protein M	protein-coding
MACS_peak_867	chr8	21987352	21987553	+	64.23	NA	intron (NM_018411, intron 1 of 17)	NA	1113	NM_018411	55806	Hs.272367	NM_005144	ENSG00000168453	HR	ALUNC|AU|HSA277165|HYPT4|MUHH|MUHH1	HR lysine demethylase and nuclear receptor corepressor	protein-coding
MACS_peak_148	chr11	61394309	61394511	+	64.07	NA	intron (NR_002775, intron 2 of 4)	NA	11902	NR_002775	113157	Hs.502733	NR_002775	ENSG00000243742	RPLP0P2	RPLP0L2|RPLP0_3_1146	ribosomal protein lateral stalk subunit P0 pseudogene 2	pseudo
MACS_peak_634	chr3	10616180	10616368	+	64.00	NA	intron (NM_001353564, intron 1 of 20)	NA	45372	NM_001353564	491	Hs.268942	NM_001683	ENSG00000157087	ATP2B2	PMCA2|PMCA2a|PMCA2i	ATPase plasma membrane Ca2+ transporting 2	protein-coding
MACS_peak_606	chr22	21241897	21242096	+	63.96	NA	exon (NM_004782, exon 5 of 5)	NA	28701	NM_004782	9342	Hs.108002	NM_004782	ENSG00000099940	SNAP29	CEDNIK|SNAP-29	synaptosome associated protein 29	protein-coding
MACS_peak_499	chr2	106139222	106139389	+	63.96	NA	Intergenic	NA	-84335	NM_201557	2274	Hs.443687	NM_001450	ENSG00000115641	FHL2	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	four and a half LIM domains 2	protein-coding
MACS_peak_772	chr6	474150	474317	+	63.96	NA	Intergenic	NA	82481	NM_002460	3662	Hs.401013	NM_002460	ENSG00000137265	IRF4	LSIRF|MUM1|NF-EM5|SHEP8	interferon regulatory factor 4	protein-coding
MACS_peak_432	chr19	2782981	2783184	+	63.91	NA	intron (NM_003021, intron 1 of 11)	NA	189	NM_003021	6449	Hs.203910	NM_003021	ENSG00000104969	SGTA	SGT|alphaSGT|hSGT	small glutamine rich tetratricopeptide repeat containing alpha	protein-coding
MACS_peak_433	chr19	4061901	4062127	+	63.86	NA	intron (NM_015898, intron 1 of 2)	NA	3513	NM_001317990	51341	Hs.591384	NM_015898	ENSG00000178951	ZBTB7A	FBI-1|FBI1|LRF|TIP21|ZBTB7|ZNF857A|pokemon	zinc finger and BTB domain containing 7A	protein-coding
MACS_peak_50	chr1	171824235	171824363	+	63.73	NA	intron (NM_001350204, intron 1 of 20)	NA	-9033	NR_046845	100874284		NR_046845	ENSG00000233540	DNM3-IT1	-	DNM3 intronic transcript 1	ncRNA
MACS_peak_552	chr20	17801535	17801704	+	63.62	NA	Intergenic	NA	121026	NM_001014977	140836	Hs.115366	NM_178477	ENSG00000125888	BANF2	BAF-L|BAF2|BAFL|C20orf179	barrier to autointegration factor 2	protein-coding
MACS_peak_866	chr8	20302318	20302487	+	63.62	NA	Intergenic	NA	-140928	NM_021020	11178	Hs.521432	NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
MACS_peak_317	chr15	80875038	80875196	+	63.62	NA	intron (NM_014862, intron 17 of 18)	NA	1673	NR_049837	100847042		NR_049837	ENSG00000284059	MIR5572	-	microRNA 5572	ncRNA
MACS_peak_502	chr2	118336361	118336530	+	63.62	NA	Intergenic	NA	-235822	NM_006773	8886	Hs.744922	NM_006773	ENSG00000088205	DDX18	Has1|MrDb	DEAD-box helicase 18	protein-coding
MACS_peak_908	chr8	129409152	129409401	+	63.61	NA	Intergenic	NA	167649	NR_121673	101927774	Hs.628730	NR_121672		LINC00824	LINC01263	long intergenic non-protein coding RNA 824	ncRNA
MACS_peak_371	chr17	2615199	2615481	+	63.58	NA	promoter-TSS (NM_001366662)	NA	-26	NM_001366662	23277	Hs.22616	NM_015229	ENSG00000132361	CLUH	CLU1	clustered mitochondria homolog	protein-coding
MACS_peak_926	chr9	92820996	92821158	+	63.56	NA	Intergenic	NA	-17296	NR_038882	286370	Hs.407589	NR_038882	ENSG00000227555	MIR4290HG	-	MIR4290 host gene	ncRNA
MACS_peak_326	chr15	100471511	100471677	+	63.54	NA	Intergenic	NA	124366	NR_135737	400464	Hs.187134	NM_001013670	ENSG00000259363	LOC400464	-	ubiquitin conjugating enzyme E2 Q2 pseudogene	pseudo
MACS_peak_21	chr1	48384479	48384649	+	63.45	NA	intron (NM_001194986, intron 2 of 6)	NA	78493	NM_001194986	388630	Hs.61504	NM_001194986	ENSG00000269113	TRABD2B	TIKI2	TraB domain containing 2B	protein-coding
MACS_peak_253	chr14	74847108	74847278	+	63.45	NA	Intergenic	NA	32019	NM_018228	55237	Hs.578167	NM_018228	ENSG00000133980	VRTN	C14orf115|vertnin	vertebrae development associated	protein-coding
MACS_peak_150	chr11	67984079	67984245	+	63.43	NA	Intergenic	NA	-3047	NM_001300909	51111	Hs.632120	NM_016028	ENSG00000110066	KMT5B	CGI-85|CGI85|MRD51|SUV420H1	lysine methyltransferase 5B	protein-coding
MACS_peak_408	chr17	72754513	72754801	+	63.39	NA	intron (NM_004252, intron 1 of 5)	NA	9890	NM_004252	9368	Hs.724482	NM_004252	ENSG00000109062	SLC9A3R1	EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2	SLC9A3 regulator 1	protein-coding
MACS_peak_783	chr6	36410553	36410857	+	63.39	NA	promoter-TSS (NM_173562)	NA	-72	NR_104480	222658	Hs.188757	NM_173562	ENSG00000112078	KCTD20	C6orf69|dJ108K11.3	potassium channel tetramerization domain containing 20	protein-coding
