PeakID (cmd=annotatePeaks.pl ESR1_WTD.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_59	chr11	117928592	117928930	+	69.53	NA	intron (NM_001354434, intron 2 of 5)	NA	-18966	NM_001290094	56649	Hs.161985	NM_019894	ENSG00000137648	TMPRSS4	CAPH2|MT-SP2|TMPRSS3	transmembrane serine protease 4	protein-coding
MACS_peak_241	chr4	84505546	84505774	+	68.97	NA	intron (NM_001256421, intron 4 of 12)	NA	48399	NM_032717	84803	Hs.99196	NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
MACS_peak_70	chr12	69358998	69359201	+	68.90	NA	Intergenic	NA	-2079	NM_001874	1368	Hs.654387	NM_001874	ENSG00000135678	CPM	-	carboxypeptidase M	protein-coding
MACS_peak_16	chr1	177418009	177418186	+	68.84	NA	Intergenic	NA	97375	NR_126001	102724661	Hs.146628	NR_126001		LINC01645	-	long intergenic non-protein coding RNA 1645	ncRNA
MACS_peak_304	chr8	144099590	144099778	+	68.03	NA	promoter-TSS (NM_002346)	NA	123	NR_026913	100133669	Hs.195309	NR_026913		LY6E-DT	-	LY6E divergent transcript	ncRNA
MACS_peak_173	chr2	46047916	46048107	+	67.44	NA	intron (NM_005400, intron 1 of 14)	NA	169197	NM_005400	5581	Hs.580351	NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
MACS_peak_44	chr11	46385190	46385456	+	66.94	NA	intron (NM_001105540, intron 1 of 31)	NA	2167	NM_001105540	8525	Hs.502461	NM_003646	ENSG00000149091	DGKZ	DAGK5|DAGK6|DGK-ZETA|hDGKzeta	diacylglycerol kinase zeta	protein-coding
MACS_peak_230	chr3	171335989	171336338	+	66.83	NA	intron (NM_001130081, intron 23 of 25)	NA	-157966	NR_027767	23043	Hs.34024	NM_015028	ENSG00000154310	TNIK	MRT54	TRAF2 and NCK interacting kinase	protein-coding
MACS_peak_199	chr20	44002469	44002789	+	66.83	NA	exon (NM_014477, exon 5 of 5)	NA	4336	NM_014477	27296	Hs.710271	NM_014477	ENSG00000124251	TP53TG5	C20orf10|CLG01	TP53 target 5	protein-coding
MACS_peak_128	chr16	79071585	79071934	+	66.83	NA	intron (NM_001291997, intron 7 of 7)	NA	562875	NM_005360	4094	Hs.134859	NM_005360	ENSG00000178573	MAF	AYGRP|CCA4|CTRCT21|c-MAF	MAF bZIP transcription factor	protein-coding
MACS_peak_29	chr10	71841358	71841557	+	66.40	NA	intron (NM_018649, intron 2 of 8)	NA	28855	NM_018649	55506	Hs.499953	NM_018649	ENSG00000099284	H2AFY2	macroH2A2	H2A histone family member Y2	protein-coding
MACS_peak_17	chr1	184595791	184595996	+	65.54	NA	3' UTR (NM_030806, exon 6 of 6)	NA	128099	NM_025191	80267	Hs.523811	NM_025191	ENSG00000116406	EDEM3	C1orf22	ER degradation enhancing alpha-mannosidase like protein 3	protein-coding
MACS_peak_205	chr20	55819896	55820657	+	65.28	NA	intron (NM_001719, intron 1 of 6)	NA	21421	NM_001719	655	Hs.473163	NM_001719	ENSG00000101144	BMP7	OP-1	bone morphogenetic protein 7	protein-coding
MACS_peak_137	chr17	45213855	45214129	+	65.15	NA	intron (NM_001256, intron 14 of 18)	NA	52669	NM_001353035	996	Hs.463295	NM_001256	ENSG00000004897	CDC27	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	cell division cycle 27	protein-coding
MACS_peak_228	chr3	161057438	161057599	+	64.59	NA	Intergenic	NA	32353	NM_001040100	165679	Hs.369104	NM_145035	ENSG00000196542	SPTSSB	ADMP|C3orf57|SSSPTB	serine palmitoyltransferase small subunit B	protein-coding
MACS_peak_116	chr16	8773249	8773380	+	64.26	NA	intron (NM_020686, intron 1 of 15)	NA	4840	NM_020686	18	Hs.336768	NM_000663	ENSG00000183044	ABAT	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase	protein-coding
MACS_peak_238	chr4	49107403	49107503	+	64.10	NA	Intergenic	NA	118794	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
MACS_peak_302	chr8	125538734	125539145	+	63.72	NA	intron (NM_032026, intron 1 of 11)	NA	12387	NM_032026	83940	Hs.170568	NM_032026	ENSG00000147687	TATDN1	CDA11	TatD DNase domain containing 1	protein-coding
MACS_peak_276	chr7	34076616	34076825	+	63.58	NA	intron (NM_001365308, intron 6 of 14)	NA	131569	NM_001365308	168667	Hs.660998	NM_133468	ENSG00000164619	BMPER	CRIM3|CV-2|CV2	BMP binding endothelial regulator	protein-coding
MACS_peak_227	chr3	156260143	156260435	+	63.31	NA	3' UTR (NM_001308205, exon 5 of 5)	NA	11625	NM_001308205	6747	Hs.518346	NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
MACS_peak_47	chr11	68065396	68065632	+	62.85	NA	Intergenic	NA	-14545	NM_001291902	4041	Hs.6347	NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
MACS_peak_24	chr10	22921915	22922156	+	62.45	NA	intron (NM_005028, intron 1 of 9)	NA	81002	NM_001330062	5305	Hs.57079	NM_005028	ENSG00000150867	PIP4K2A	PI5P4KA|PIP5K2A|PIP5KII-alpha|PIP5KIIA|PIPK	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	protein-coding
MACS_peak_92	chr14	77866554	77866873	+	61.39	NA	intron (NM_001113475, intron 5 of 5)	NA	22686	NM_001113475	122945	Hs.97556	NM_138791	ENSG00000165555	NOXRED1	C14orf148	NADP dependent oxidoreductase domain containing 1	protein-coding
MACS_peak_157	chr19	37063981	37064357	+	60.93	NA	promoter-TSS (NM_001321351)	NA	25	NM_001352272	57711	Hs.654960	NM_020951	ENSG00000186020	ZNF529	-	zinc finger protein 529	protein-coding
MACS_peak_280	chr7	73108464	73108636	+	59.94	NA	intron (NR_037776, intron 10 of 11)	NA	10623	NM_001202560	114049	Hs.647063	NM_017528	ENSG00000071462	BUD23	HASJ4442|HUSSY-3|MERM1|PP3381|WBMT|WBSCR22	BUD23 rRNA methyltransferase and ribosome maturation factor	protein-coding
MACS_peak_266	chr6	109028895	109029067	+	59.80	NA	Intergenic	NA	-43876	NR_033376	387111	Hs.520310	NR_033376	ENSG00000203801	LINC00222	C6orf181|NCRNA00222|dJ354J5.2	long intergenic non-protein coding RNA 222	ncRNA
MACS_peak_168	chr2	20581114	20581342	+	59.77	NA	Intergenic	NA	-29214	NM_001352920	23369	Hs.467824	NM_015317	ENSG00000055917	PUM2	PUMH2|PUML2	pumilio RNA binding family member 2	protein-coding
MACS_peak_272	chr7	2579192	2579366	+	59.51	NA	intron (NM_152743, intron 11 of 13)	NA	12571	NR_039791	100616116		NR_039791	ENSG00000264357	MIR4648	-	microRNA 4648	ncRNA
MACS_peak_135	chr17	38738577	38738826	+	59.49	NA	Intergenic	NA	-16977	NM_001301714	1236	Hs.370036	NM_001838	ENSG00000126353	CCR7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	C-C motif chemokine receptor 7	protein-coding
MACS_peak_284	chr7	101616382	101616661	+	59.49	NA	intron (NM_001202544, intron 2 of 21)	NA	155615	NM_181552	1523	Hs.191482	NM_001913	ENSG00000257923	CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GDDI|GOLIM6|Nbla10317|p100|p110|p200|p75	cut like homeobox 1	protein-coding
MACS_peak_178	chr2	89867954	89868087	+	59.49	NA	Intergenic	NA	756136	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
MACS_peak_295	chr8	91899899	91900153	+	59.49	NA	intron (NM_022351, intron 5 of 12)	NA	96023	NM_022351	64168	Hs.719466	NM_022351	ENSG00000123119	NECAB1	EFCBP1|STIP-1	N-terminal EF-hand calcium binding protein 1	protein-coding
MACS_peak_138	chr17	55420261	55420526	+	59.49	NA	intron (NM_001322250, intron 5 of 13)	NA	86013	NM_170721	124540	Hs.658922	NM_138962	ENSG00000153944	MSI2	MSI2H	musashi RNA binding protein 2	protein-coding
MACS_peak_123	chr16	48439475	48439651	+	59.23	NA	Intergenic	NA	-20239	NM_003031	6477	Hs.706828	NM_003031	ENSG00000196470	SIAH1	SIAH1A	siah E3 ubiquitin protein ligase 1	protein-coding
MACS_peak_21	chr10	8170396	8170573	+	59.08	NA	Intergenic	NA	73833	NM_001002295	2625	Hs.524134	NM_002051	ENSG00000107485	GATA3	HDR|HDRS	GATA binding protein 3	protein-coding
MACS_peak_84	chr13	81964330	81964492	+	58.99	NA	Intergenic	NA	-163293	NR_047494	100861546	Hs.539621	NR_047494	ENSG00000260094	LINC00564	-	long intergenic non-protein coding RNA 564	ncRNA
MACS_peak_143	chr17	75283118	75283321	+	58.79	NA	promoter-TSS (NM_001113492)	NA	-754	NM_001113492	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
MACS_peak_282	chr7	92237912	92238252	+	58.53	NA	3' UTR (NM_001259, exon 8 of 8)	NA	-18378	NR_109929	257415	Hs.18564	NM_152789	ENSG00000234545	FAM133B	-	family with sequence similarity 133 member B	protein-coding
MACS_peak_45	chr11	66049899	66050152	+	58.43	NA	intron (NR_073078, intron 2 of 5)	NA	4379	NR_073079	254263	Hs.437072	NM_182553	ENSG00000174871	CNIH2	CNIH-2|Cnil	cornichon family AMPA receptor auxiliary protein 2	protein-coding
MACS_peak_3	chr1	10812505	10812687	+	58.40	NA	intron (NM_001079843, intron 2 of 20)	NA	44107	NM_001079843	54897	Hs.439894	NM_017766	ENSG00000130940	CASZ1	CAS11|CST|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	protein-coding
MACS_peak_207	chr21	10809165	10809249	+	58.21	NA	Intergenic	NA	181736	NM_001290224	7179	Hs.122986	NM_199259	ENSG00000274391	TPTE	CT44|PTEN2	transmembrane phosphatase with tensin homology	protein-coding
MACS_peak_33	chr10	98561316	98561557	+	57.73	NA	Intergenic	NA	27085	NR_030338	693192		NR_030338	ENSG00000207976	MIR607	MIRN607|hsa-mir-607	microRNA 607	ncRNA
MACS_peak_255	chr6	3718555	3718743	+	57.60	NA	Intergenic	NA	33597	NM_183373	221749	Hs.484500	NM_183373	ENSG00000168994	PXDC1	C6orf145	PX domain containing 1	protein-coding
MACS_peak_122	chr16	46409648	46409744	+	57.53	NA	Intergenic	NA	193313	NR_026556	124149	Hs.97414	NM_001004299		ANKRD26P1	-	ankyrin repeat domain 26 pseudogene 1	pseudo
MACS_peak_26	chr10	62608458	62608647	+	57.47	NA	Intergenic	NA	70316	NM_001786	983	Hs.732435	NM_001786	ENSG00000170312	CDK1	CDC2|CDC28A|P34CDC2	cyclin dependent kinase 1	protein-coding
MACS_peak_202	chr20	52118993	52119107	+	57.37	NA	Intergenic	NA	-50259	NR_110051	101927770		NR_110051		LOC101927770	-	uncharacterized LOC101927770	ncRNA
MACS_peak_20	chr10	6195288	6195453	+	57.33	NA	intron (NM_001282630, intron 1 of 14)	NA	-1145	NR_039698	100628560		NR_039698	ENSG00000283634	MIR3155B	hsa-mir-3155b	microRNA 3155b	ncRNA
MACS_peak_150	chr19	4970932	4971126	+	56.83	NA	intron (NM_001370094, intron 1 of 10)	NA	1905	NM_001370093	23030	Hs.654816	NM_015015	ENSG00000127663	KDM4B	JMJD2B|TDRD14B	lysine demethylase 4B	protein-coding
MACS_peak_120	chr16	33879644	33879783	+	56.77	NA	Intergenic	NA	-86332	NR_162093	113218496		NR_162093		MIR9901	-	microRNA 9901	ncRNA
MACS_peak_30	chr10	73068715	73068913	+	56.33	NA	Intergenic	NA	-10196	NR_033414	55315	Hs.438419	NM_018344	ENSG00000198246	SLC29A3	ENT3|HCLAP|HJCD|PHID	solute carrier family 29 member 3	protein-coding
MACS_peak_82	chr13	65788647	65788829	+	56.12	NA	Intergenic	NA	-651441	NR_132362	105370242	Hs.578051	NR_132362		LINC01052	-	long intergenic non-protein coding RNA 1052	ncRNA
MACS_peak_212	chr22	24922213	24922398	+	55.72	NA	3' UTR (NM_016327, exon 10 of 10)	NA	28801	NM_001284257	83606	Hs.9850	NM_031444	ENSG00000138867	GUCD1	C22orf13|LLN4	guanylyl cyclase domain containing 1	protein-coding
MACS_peak_37	chr10	106240670	106240874	+	55.59	NA	promoter-TSS (NR_120624)	NA	-739	NR_120624	101927523	Hs.407539	NR_120624	ENSG00000225768	LINC02620	-	long intergenic non-protein coding RNA 2620	ncRNA
MACS_peak_142	chr17	72756833	72757019	+	55.59	NA	intron (NM_004252, intron 1 of 5)	NA	12159	NM_004252	9368	Hs.724482	NM_004252	ENSG00000109062	SLC9A3R1	EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2	SLC9A3 regulator 1	protein-coding
MACS_peak_80	chr13	33920003	33920110	+	55.28	NA	intron (NM_001243476, intron 5 of 17)	NA	-10653	NR_146541	105370154		NR_146541		LINC02344	-	long intergenic non-protein coding RNA 2344	ncRNA
MACS_peak_279	chr7	71396900	71397010	+	55.28	NA	intron (NM_001017440, intron 4 of 5)	NA	405421	NM_001017440	83698	Hs.592750	NM_031468	ENSG00000183166	CALN1	CABP8	calneuron 1	protein-coding
MACS_peak_285	chr8	8146658	8146847	+	55.20	NA	Intergenic	NA	60660	NR_024363	286042	Hs.656318	NR_024361	ENSG00000173295	FAM86B3P	-	family with sequence similarity 86, member A pseudogene	pseudo
MACS_peak_109	chr15	87407214	87407503	+	55.15	NA	intron (NM_152336, intron 23 of 24)	NA	-68753	NR_135682	105370954	Hs.668501	NR_135682	ENSG00000259636	LOC105370954	-	uncharacterized LOC105370954	ncRNA
MACS_peak_281	chr7	86111535	86111652	+	54.92	NA	Intergenic	NA	-161632	NM_001363522	2913	Hs.590575	NM_000840	ENSG00000198822	GRM3	GLUR3|GPRC1C|MGLUR3|mGlu3	glutamate metabotropic receptor 3	protein-coding
MACS_peak_96	chr14	100603526	100603727	+	54.54	NA	intron (NM_016337, intron 9 of 13)	NA	22356	NM_206918	123099	Hs.159643	NM_206918	ENSG00000168350	DEGS2	C14orf66|DES2|FADS8	delta 4-desaturase, sphingolipid 2	protein-coding
MACS_peak_5	chr1	12609654	12609850	+	54.30	NA	Intergenic	NA	29299	NR_106788	102466722		NR_106788	ENSG00000276830	MIR6730	hsa-mir-6730	microRNA 6730	ncRNA
MACS_peak_257	chr6	20210570	20210814	+	54.24	NA	intron (NM_001080480, intron 1 of 12)	NA	2008	NR_073465	154141	Hs.377830	NM_001080480	ENSG00000172197	MBOAT1	LPEAT1|LPLAT|LPLAT 1|LPSAT|OACT1|dJ434O11.1	membrane bound O-acyltransferase domain containing 1	protein-coding
MACS_peak_34	chr10	100112171	100112293	+	54.05	NA	Intergenic	NA	42832	NR_031619	100302133		NR_031619	ENSG00000284415	MIR1287	MIRN1287|hsa-mir-1287|mir-1287	microRNA 1287	ncRNA
MACS_peak_63	chr11	122967222	122967345	+	53.89	NA	intron (NM_024769, intron 2 of 6)	NA	-34439	NM_153201	3312	Hs.180414	NM_006597	ENSG00000109971	HSPA8	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	heat shock protein family A (Hsp70) member 8	protein-coding
MACS_peak_10	chr1	107584075	107584250	+	53.88	NA	Intergenic	NA	-15134	NM_018137	55170	Hs.26006	NM_018137	ENSG00000198890	PRMT6	HRMT1L6	protein arginine methyltransferase 6	protein-coding
MACS_peak_181	chr2	113349052	113349259	+	53.72	NA	Intergenic	NA	6724	NM_001304354	84269	Hs.375707	NM_032309	ENSG00000125611	CHCHD5	C2orf9|CHTM1|MIC14|MIX14	coiled-coil-helix-coiled-coil-helix domain containing 5	protein-coding
MACS_peak_43	chr11	35411565	35411815	+	53.57	NA	intron (NM_001252652, intron 1 of 11)	NA	29415	NM_004171	6506	Hs.502338	NM_004171	ENSG00000110436	SLC1A2	EAAT2|EIEE41|GLT-1|HBGT	solute carrier family 1 member 2	protein-coding
MACS_peak_151	chr19	7685056	7685181	+	53.55	NA	intron (NM_020196, intron 16 of 18)	NA	2793	NR_106850	102465475		NR_106850	ENSG00000273657	MIR6792	hsa-mir-6792	microRNA 6792	ncRNA
MACS_peak_232	chr3	178243319	178243444	+	53.55	NA	non-coding (NR_126560, exon 8 of 8)	NA	-10843	NM_181361	10242	Hs.478368	NM_005832	ENSG00000197584	KCNMB2	-	potassium calcium-activated channel subfamily M regulatory beta subunit 2	protein-coding
MACS_peak_278	chr7	63338925	63339047	+	53.20	NA	Intergenic	NA	-120198	NR_145488	100419780	Hs.742917	NR_145488		ZNF722P	ZNF722	zinc finger protein 722, pseudogene	pseudo
MACS_peak_159	chr19	39621043	39621259	+	53.19	NA	intron (NM_001014832, intron 1 of 8)	NA	4725	NM_001014832	10298	Hs.20447	NM_005884	ENSG00000130669	PAK4	-	p21 (RAC1) activated kinase 4	protein-coding
MACS_peak_101	chr15	52968340	52968600	+	53.10	NA	intron (NM_019600, intron 2 of 12)	NA	2361	NR_104457	56204	Hs.152385	NM_019600	ENSG00000047346	FAM214A	KIAA1370	family with sequence similarity 214 member A	protein-coding
MACS_peak_31	chr10	80888436	80888645	+	52.74	NA	intron (NM_020338, intron 2 of 24)	NA	59817	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
MACS_peak_273	chr7	2728957	2729089	+	52.42	NA	intron (NM_001284355, intron 1 of 5)	NA	1187	NM_001321766	155185	Hs.42221	NM_133463	ENSG00000174945	AMZ1	-	archaelysin family metallopeptidase 1	protein-coding
MACS_peak_129	chr16	85322763	85322905	+	52.22	NA	Intergenic	NA	6270	NR_038859	197196	Hs.679002	NM_153238	ENSG00000179219	LINC00311	NCRNA00311|TMEM148	long intergenic non-protein coding RNA 311	ncRNA
MACS_peak_174	chr2	58614941	58615075	+	52.11	NA	Intergenic	NA	111996	NR_147010	105374744	Hs.447687	NR_147010	ENSG00000225226	LINC01795	-	long intergenic non-protein coding RNA 1795	ncRNA
MACS_peak_189	chr2	172944985	172945194	+	51.65	NA	exon (NM_199227, exon 10 of 10)	NA	-5146	NM_178120	1745	Hs.407015	NM_178120	ENSG00000144355	DLX1	-	distal-less homeobox 1	protein-coding
MACS_peak_196	chr20	19110980	19111117	+	51.65	NA	Intergenic	NA	-82238	NM_020689	57419	Hs.654790	NM_020689	ENSG00000185052	SLC24A3	NCKX3	solute carrier family 24 member 3	protein-coding
MACS_peak_265	chr6	109028746	109028883	+	51.65	NA	Intergenic	NA	-44043	NR_033376	387111	Hs.520310	NR_033376	ENSG00000203801	LINC00222	C6orf181|NCRNA00222|dJ354J5.2	long intergenic non-protein coding RNA 222	ncRNA
MACS_peak_225	chr3	147839808	147839933	+	51.63	NA	Intergenic	NA	43924	NR_134937	100507461	Hs.112623	NR_134937	ENSG00000241131	LINC02032	-	long intergenic non-protein coding RNA 2032	ncRNA
MACS_peak_248	chr5	21182486	21182578	+	51.55	NA	Intergenic	NA	-277057	NR_027026	728411	Hs.88181	NM_207331	ENSG00000183666	GUSBP1	-	GUSB pseudogene 1	pseudo
MACS_peak_258	chr6	35300191	35300329	+	51.50	NA	Intergenic	NA	-10075	NM_001171820	5467	Hs.696032	NM_006238	ENSG00000112033	PPARD	FAAR|NR1C2|NUC1|NUCI|NUCII|PPARB	peroxisome proliferator activated receptor delta	protein-coding
MACS_peak_164	chr2	10917635	10917782	+	51.38	NA	intron (NM_144583, intron 10 of 12)	NA	35203	NM_005742	10130	Hs.212102	NM_005742	ENSG00000143870	PDIA6	ERP5|P5|TXNDC7	protein disulfide isomerase family A member 6	protein-coding
MACS_peak_310	chr9	110390901	110391042	+	51.06	NA	Intergenic	NA	-138921	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
MACS_peak_111	chr15	97298748	97298890	+	50.91	NA	Intergenic	NA	26065	NR_102754	100652749	Hs.303588	NR_102753	ENSG00000259282	SPATA8-AS1	-	SPATA8 antisense RNA 1 (head to head)	ncRNA
MACS_peak_171	chr2	42238048	42238191	+	50.77	NA	Intergenic	NA	-37042	NM_138370	91461	Hs.408542	NM_138370	ENSG00000162878	PKDCC	SGK493|Vlk	protein kinase domain containing, cytoplasmic	protein-coding
MACS_peak_223	chr3	107718358	107718502	+	50.63	NA	Intergenic	NA	91505	NM_198793	961	Hs.446414	NM_001777	ENSG00000196776	CD47	IAP|MER6|OA3	CD47 molecule	protein-coding
MACS_peak_83	chr13	69319780	69319890	+	50.44	NA	Intergenic	NA	139622	NR_038878	338862		NR_038878	ENSG00000281778	LINC00550	-	long intergenic non-protein coding RNA 550	ncRNA
MACS_peak_220	chr3	47205868	47206101	+	50.43	NA	promoter-TSS (NM_001349370)	NA	124	NR_033373	285352	Hs.570631	NR_033373		KIF9-AS1	-	KIF9 antisense RNA 1	ncRNA
MACS_peak_247	chr5	16642655	16642788	+	50.35	NA	Intergenic	NA	-25554	NM_001034850	54463	Hs.481704	NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
MACS_peak_81	chr13	34216911	34217057	+	50.34	NA	intron (NM_001243476, intron 3 of 17)	NA	33947	NM_001243476	90627	Hs.156551	NM_052851	ENSG00000133121	STARD13	ARHGAP37|DLC2|GT650|LINC00464	StAR related lipid transfer domain containing 13	protein-coding
MACS_peak_97	chr14	100603730	100603884	+	50.25	NA	intron (NM_016337, intron 9 of 13)	NA	22175	NM_206918	123099	Hs.159643	NM_206918	ENSG00000168350	DEGS2	C14orf66|DES2|FADS8	delta 4-desaturase, sphingolipid 2	protein-coding
MACS_peak_66	chr12	26254486	26254620	+	50.20	NA	Intergenic	NA	23417	NM_030762	79365	Hs.177841	NM_030762	ENSG00000123095	BHLHE41	BHLHB3|DEC2|SHARP1|hDEC2	basic helix-loop-helix family member e41	protein-coding
MACS_peak_218	chr3	1832235	1832382	+	50.20	NA	Intergenic	NA	-308179	NM_001350095	152330	Hs.298705	NM_175607	ENSG00000144619	CNTN4	AXCAM|BIG-2	contactin 4	protein-coding
MACS_peak_264	chr6	88283995	88284143	+	50.06	NA	intron (NR_146756, intron 1 of 19)	NA	15636	NM_020320	57038	Hs.485910	NM_020320	ENSG00000146282	RARS2	ArgRS|DALRD2|PCH6|PRO1992|RARSL	arginyl-tRNA synthetase 2, mitochondrial	protein-coding
MACS_peak_127	chr16	75564567	75564715	+	50.06	NA	5' UTR (NM_024533, exon 3 of 3)	NA	4427	NM_024533	23563	Hs.745424	NM_012126	ENSG00000135702	CHST5	I-GlcNAc-6-ST|I-GlcNAc6ST|glcNAc6ST-3|gn6st-3|hIGn6ST	carbohydrate sulfotransferase 5	protein-coding
