PeakID (cmd=annotatePeaks.pl ESR1_WTE.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_1606	chr12	108927804	108928723	+	197.28	NA	NA	NA	19209	NM_007076	11153	Hs.661891	NM_007076	ENSG00000198855	FICD	HIP13|HYPE|UNQ3041	FIC domain containing	protein-coding
MACS_peak_6088	chr6	139833676	139834023	+	197.11	NA	NA	NA	-38116	NR_033919	645434	Hs.666240	NR_033919	ENSG00000238099	LINC01625	-	long intergenic non-protein coding RNA 1625	ncRNA
MACS_peak_2425	chr15	95801805	95802445	+	197.03	NA	NA	NA	68204	NR_034095	400456	Hs.536404	NR_034095	ENSG00000248441	LINC01197	-	long intergenic non-protein coding RNA 1197	ncRNA
MACS_peak_3429	chr19	19097576	19098403	+	197.03	NA	NA	NA	-45963	NM_004838	9454	Hs.720208	NM_004838	ENSG00000051128	HOMER3	HOMER-3|VESL3	homer scaffold protein 3	protein-coding
MACS_peak_833	chr10	76881093	76881754	+	197.02	NA	NA	NA	10009	NM_144660	142891	Hs.744986	NM_144660	ENSG00000156671	SAMD8	HEL-177|SMSr	sterile alpha motif domain containing 8	protein-coding
MACS_peak_6588	chr8	30106583	30107303	+	196.94	NA	NA	NA	93058	NM_006571	10671	Hs.158427	NM_006571	ENSG00000104671	DCTN6	WS-3|WS3|p27	dynactin subunit 6	protein-coding
MACS_peak_4844	chr3	22905282	22906002	+	196.94	NA	NA	NA	338427	NR_136177	100505877	Hs.125904	NR_136176	ENSG00000233153	UBE2E2-AS1	-	UBE2E2 antisense RNA 1 (head to head)	ncRNA
MACS_peak_3929	chr2	136972545	136973288	+	196.77	NA	NA	NA	-97191	NM_003467	7852	Hs.593413	NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	C-X-C motif chemokine receptor 4	protein-coding
MACS_peak_2350	chr15	74316646	74317539	+	196.62	NA	NA	NA	30035	NM_033247	5371	Hs.526464	NM_002675	ENSG00000140464	PML	MYL|PP8675|RNF71|TRIM19	promyelocytic leukemia	protein-coding
MACS_peak_1704	chr12	125226474	125227201	+	196.56	NA	NA	NA	97380	NM_001367982	949	Hs.731377	NM_005505	ENSG00000073060	SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	scavenger receptor class B member 1	protein-coding
MACS_peak_704	chr10	29396694	29397449	+	196.46	NA	NA	NA	-180928	NM_032517	84569	Hs.558572	NM_032517	ENSG00000120563	LYZL1	KAAG648|LYC2|LYZD1|PRO1278|bA534G20.1	lysozyme like 1	protein-coding
MACS_peak_2538	chr16	12351936	12352572	+	196.29	NA	NA	NA	281663	NM_032167	92017	Hs.458401	NM_032167	ENSG00000048471	SNX29	A-388D4.1|RUNDC2A	sorting nexin 29	protein-coding
MACS_peak_5474	chr4	184244206	184244821	+	196.29	NA	NA	NA	-934	NM_001185149	100132463	Hs.727475	NM_001185149	ENSG00000185758	CLDN24	CLDN21	claudin 24	protein-coding
MACS_peak_6226	chr7	26554988	26555507	+	196.29	NA	NA	NA	23197	NR_022006	9808	Hs.69749	NM_014769	ENSG00000122548	KIAA0087	-	KIAA0087 lncRNA	ncRNA
MACS_peak_6957	chr9	96869315	96869969	+	196.29	NA	NA	NA	22896	NM_001253829	138639	Hs.437943	NM_152422	ENSG00000158079	PTPDC1	PTP9Q22	protein tyrosine phosphatase domain containing 1	protein-coding
MACS_peak_568	chr1	225990365	225991055	+	196.29	NA	NA	NA	-7066	NM_001136018	2052	Hs.89649	NM_000120	ENSG00000143819	EPHX1	EPHX|EPOX|HYL1|MEH	epoxide hydrolase 1	protein-coding
MACS_peak_4565	chr21	46561423	46562190	+	195.94	NA	NA	NA	-10639	NM_001346687	104	Hs.474018	NM_001112	ENSG00000197381	ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase RNA specific B1	protein-coding
MACS_peak_4206	chr20	21216409	21217027	+	195.93	NA	NA	NA	-17791	NR_109956	101929591	Hs.656066	NR_109956	ENSG00000232712	KIZ-AS1	-	KIZ antisense RNA 1	ncRNA
MACS_peak_532	chr1	207016805	207017613	+	195.80	NA	NA	NA	9515	NM_001369605	29949	Hs.661017	NM_013371	ENSG00000142224	IL19	IL-10C|MDA1|NG.1|ZMDA1	interleukin 19	protein-coding
MACS_peak_4692	chr22	36555076	36555728	+	195.73	NA	NA	NA	1401	NM_145639	80833	Hs.474737	NM_014349	ENSG00000128284	APOL3	APOLIII|CG121|CG12_1|apoL-III	apolipoprotein L3	protein-coding
MACS_peak_1778	chr13	45217560	45218139	+	195.70	NA	NA	NA	3344	NR_149082	106144541	Hs.578031	NR_149082		LINC00407	-	long intergenic non-protein coding RNA 407	ncRNA
MACS_peak_4032	chr2	175543109	175543882	+	195.67	NA	NA	NA	4132	NM_001077269	7456	Hs.128067	NM_003387	ENSG00000115935	WIPF1	PRPL-2|WAS2|WASPIP|WIP	WAS/WASL interacting protein family member 1	protein-coding
MACS_peak_1131	chr11	44610942	44611522	+	195.64	NA	NA	NA	24019	NM_001024844	3732	Hs.527778	NM_002231	ENSG00000085117	CD82	4F9|C33|GR15|IA4|KAI1|R2|SAR2|ST6|TSPAN27	CD82 molecule	protein-coding
MACS_peak_3526	chr19	45251481	45252326	+	195.61	NA	NA	NA	-62	NM_005178	602	Hs.31210	NM_005178	ENSG00000069399	BCL3	BCL4|D19S37	BCL3 transcription coactivator	protein-coding
MACS_peak_1234	chr11	70342880	70343751	+	195.42	NA	NA	NA	98680	NM_005231	2017	Hs.596164	NM_005231	ENSG00000085733	CTTN	EMS1	cortactin	protein-coding
MACS_peak_452	chr1	182602548	182603442	+	195.34	NA	NA	NA	18720	NR_036490	284648	Hs.253475	NR_036490	ENSG00000261504	LINC01686	-	long intergenic non-protein coding RNA 1686	ncRNA
MACS_peak_4156	chr2	239948067	239948455	+	195.28	NA	NA	NA	42349	NR_039642	100616397		NR_039642	ENSG00000266109	MIR4440	mir-4440	microRNA 4440	ncRNA
MACS_peak_26	chr1	6671740	6672254	+	195.15	NA	NA	NA	-1794	NM_153812	148479	Hs.516079	NM_153812	ENSG00000116273	PHF13	PHF5|SPOC1	PHD finger protein 13	protein-coding
MACS_peak_3707	chr2	45236690	45237438	+	194.99	NA	NA	NA	-473	NM_016932	10736	Hs.101937	NM_016932	ENSG00000170577	SIX2	-	SIX homeobox 2	protein-coding
MACS_peak_2929	chr17	38856996	38857653	+	194.96	NA	NA	NA	2680	NM_019016	192666	Hs.87383	NM_019016	ENSG00000167916	KRT24	K24|KA24	keratin 24	protein-coding
MACS_peak_3847	chr2	109211153	109212084	+	194.93	NA	NA	NA	6856	NM_004987	3987	Hs.597715	NM_004987	ENSG00000169756	LIMS1	PINCH|PINCH-1|PINCH1	LIM zinc finger domain containing 1	protein-coding
MACS_peak_6779	chr8	129164845	129165966	+	194.70	NA	NA	NA	3043	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
MACS_peak_2044	chr14	77535586	77537344	+	194.67	NA	NA	NA	6069	NR_110553	102724190	Hs.562528	NR_110553	ENSG00000258819	LINC02289	-	long intergenic non-protein coding RNA 2289	ncRNA
MACS_peak_6423	chr7	131899135	131899794	+	194.65	NA	NA	NA	-46156	NR_134565	101928807	Hs.552131	NR_134565		LOC101928807	-	uncharacterized LOC101928807	ncRNA
MACS_peak_5646	chr5	102744815	102745290	+	194.61	NA	NA	NA	132634	NR_104670	102467212	Hs.641885	NR_104670	ENSG00000248757	LINC02115	-	long intergenic non-protein coding RNA 2115	ncRNA
MACS_peak_560	chr1	223385643	223386552	+	194.58	NA	NA	NA	-69507	NM_003268	7100	Hs.604542	NM_003268	ENSG00000187554	TLR5	MELIOS|SLE1|SLEB1|TIL3	toll like receptor 5	protein-coding
MACS_peak_1050	chr11	1849739	1850193	+	194.19	NA	NA	NA	-5691	NM_001290334	90019	Hs.161031	NM_138567	ENSG00000149043	SYT8	-	synaptotagmin 8	protein-coding
MACS_peak_3396	chr19	16254153	16254608	+	193.99	NA	NA	NA	-115	NM_001369809	84941	Hs.631617	NM_032855	ENSG00000196684	HSH2D	ALX|HSH2	hematopoietic SH2 domain containing	protein-coding
MACS_peak_883	chr10	90234218	90234626	+	193.96	NA	NA	NA	108653	NM_001031709	55328	Hs.149849	NM_018363	ENSG00000184719	RNLS	C10orf59|RENALASE	renalase, FAD dependent amine oxidase	protein-coding
MACS_peak_7247	chrX	100662648	100663312	+	193.85	NA	NA	NA	21	NM_000169	2717	Hs.69089	NM_000169	ENSG00000102393	GLA	GALA	galactosidase alpha	protein-coding
MACS_peak_4752	chr22	44838643	44839372	+	193.85	NA	NA	NA	-200	NR_109966	101927526	Hs.339290	NR_109966	ENSG00000232655	LINC01656	-	long intergenic non-protein coding RNA 1656	ncRNA
MACS_peak_2531	chr16	11276659	11277531	+	193.85	NA	NA	NA	72944	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
MACS_peak_2896	chr17	31846637	31847205	+	193.85	NA	NA	NA	13858	NR_037584	100506677	Hs.652571	NR_037584	ENSG00000265544	AA06	AA02|AA04|AA05	uncharacterized LOC100506677	pseudo
MACS_peak_524	chr1	204542176	204542939	+	193.56	NA	NA	NA	57023	NM_002393	4194	Hs.497492	NM_002393	ENSG00000198625	MDM4	HDMX|MDMX|MRP1	MDM4 regulator of p53	protein-coding
MACS_peak_4141	chr2	237733308	237734071	+	193.56	NA	NA	NA	231121	NR_135202	93463	Hs.652810	NR_135202	ENSG00000124835	LOC93463	-	uncharacterized LOC93463	ncRNA
MACS_peak_1925	chr14	51342993	51343882	+	193.47	NA	NA	NA	4559	NM_181814	145447	Hs.271896	NM_181533	ENSG00000131969	ABHD12B	BEM46L3|C14orf29|c14_5314	abhydrolase domain containing 12B	protein-coding
MACS_peak_6955	chr9	96218224	96218955	+	193.44	NA	NA	NA	-2706	NR_136229	158293	Hs.350364	NM_198841	ENSG00000188938	FAM120AOS	C9orf10OS	family with sequence similarity 120A opposite strand	protein-coding
MACS_peak_1211	chr11	69308766	69309646	+	193.44	NA	NA	NA	8877	NR_120545	101928292	Hs.736219	NR_120542		LINC01488	BRCAT8	long intergenic non-protein coding RNA 1488	ncRNA
MACS_peak_5811	chr6	6739787	6740454	+	193.44	NA	NA	NA	-117061	NR_026970	285780	Hs.655737	NM_173675	ENSG00000216863	LY86-AS1	LY86-AS|LY86AS	LY86 antisense RNA 1	ncRNA
MACS_peak_5519	chr5	16509037	16509800	+	193.44	NA	NA	NA	-311	NM_019000	54463	Hs.481704	NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
MACS_peak_680	chr10	23015494	23016299	+	193.35	NA	NA	NA	-12389	NM_005028	5305	Hs.57079	NM_005028	ENSG00000150867	PIP4K2A	PI5P4KA|PIP5K2A|PIP5KII-alpha|PIP5KIIA|PIPK	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	protein-coding
MACS_peak_5911	chr6	33684727	33685549	+	193.33	NA	NA	NA	-5661	NM_032340	84300	Hs.732448	NM_032340	ENSG00000137288	UQCC2	C6orf125|C6orf126|Cbp6|M19|MC3DN7|MNF1|bA6B20.2	ubiquinol-cytochrome c reductase complex assembly factor 2	protein-coding
MACS_peak_5652	chr5	106600871	106601495	+	193.07	NA	NA	NA	-254468	NR_104671	102467213	Hs.570923	NR_104671	ENSG00000251027	LINC01950	-	long intergenic non-protein coding RNA 1950	ncRNA
MACS_peak_5989	chr6	64144677	64145273	+	192.99	NA	NA	NA	-115087	NM_016571	51557	Hs.149585	NM_016571	ENSG00000146166	LGSN	GLULD1|LGS	lengsin, lens protein with glutamine synthetase domain	protein-coding
MACS_peak_871	chr10	82726097	82726818	+	192.85	NA	NA	NA	316904	NR_155749	105378386	Hs.531456	NR_155749		LINC02655	-	long intergenic non-protein coding RNA 2655	ncRNA
MACS_peak_5584	chr5	58696997	58697594	+	192.83	NA	NA	NA	-44499	NM_001197219	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
MACS_peak_6581	chr8	29418385	29419042	+	192.81	NA	NA	NA	186912	NR_026765	619351	Hs.566911	NR_026765	ENSG00000251191	LINC00589	C8orf75|TSLNC8	long intergenic non-protein coding RNA 589	ncRNA
MACS_peak_2936	chr17	40779846	40780736	+	192.74	NA	NA	NA	18590	NM_001070	7283	Hs.279669	NM_001070	ENSG00000131462	TUBG1	CDCBM4|GCP-1|TUBG|TUBGCP1	tubulin gamma 1	protein-coding
MACS_peak_2476	chr16	1373476	1374226	+	192.68	NA	NA	NA	-9795	NM_001199097	8938	Hs.458427	NM_003933	ENSG00000007516	BAIAP3	BAP3	BAI1 associated protein 3	protein-coding
MACS_peak_7083	chr9	130828631	130829263	+	192.63	NA	NA	NA	652	NM_197956	203245	Hs.373606	NM_197956	ENSG00000171169	NAIF1	C9orf90|bA379C10.2	nuclear apoptosis inducing factor 1	protein-coding
MACS_peak_5099	chr3	156355258	156356152	+	192.18	NA	NA	NA	-36674	NM_015508	25976	Hs.744050	NM_015508	ENSG00000163659	TIPARP	ARTD14|PARP7|pART14	TCDD inducible poly(ADP-ribose) polymerase	protein-coding
MACS_peak_661	chr10	16788896	16789650	+	192.13	NA	NA	NA	70150	NM_012425	6251	Hs.524161	NM_012425	ENSG00000148484	RSU1	RSP-1	Ras suppressor protein 1	protein-coding
MACS_peak_826	chr10	76281751	76282411	+	191.84	NA	NA	NA	7001	NR_120673	102723439		NR_120673		LOC102723439	-	uncharacterized LOC102723439	ncRNA
MACS_peak_7105	chr9	132949057	132950067	+	191.82	NA	NA	NA	-13117	NM_001128826	23413	Hs.642946	NM_014286	ENSG00000107130	NCS1	FLUP|FREQ	neuronal calcium sensor 1	protein-coding
MACS_peak_4489	chr21	40497795	40498460	+	191.80	NA	NA	NA	57250	NM_003720	8624	Hs.473838	NM_003720	ENSG00000183527	PSMG1	C21LRP|DSCR2|LRPC21|PAC-1|PAC1	proteasome assembly chaperone 1	protein-coding
MACS_peak_1209	chr11	69251643	69252254	+	191.53	NA	NA	NA	11525	NM_001319657	102724265	Hs.448669	NM_001319657		LOC102724265	-	uncharacterized LOC102724265	protein-coding
MACS_peak_1394	chr11	131562005	131562611	+	191.37	NA	NA	NA	-28858	NR_126159	101929637	Hs.730330	NM_207432	ENSG00000224795	NTM-AS1	C11orf39	NTM antisense RNA 1	ncRNA
MACS_peak_2122	chr14	96505109	96505710	+	191.08	NA	NA	NA	-252	NM_001282464	56967	Hs.6434	NM_020215	ENSG00000227051	C14orf132	C14orf88	chromosome 14 open reading frame 132	protein-coding
MACS_peak_4795	chr3	5019777	5020599	+	191.05	NA	NA	NA	-934	NM_003670	8553	Hs.744856	NM_003670	ENSG00000134107	BHLHE40	BHLHB2|Clast5|DEC1|HLHB2|SHARP-2|SHARP2|STRA13|Stra14	basic helix-loop-helix family member e40	protein-coding
MACS_peak_5354	chr4	79231023	79231868	+	190.98	NA	NA	NA	21306	NR_145782	109623453		NR_145782		SNORD161	-	small nucleolar RNA, C/D box 161	snoRNA
MACS_peak_1299	chr11	80147005	80147980	+	190.79	NA	NA	NA	326354	NR_120570	101928944	Hs.547927	NR_120570	ENSG00000255178	LINC02720	-	long intergenic non-protein coding RNA 2720	ncRNA
MACS_peak_6102	chr6	149159008	149159610	+	190.50	NA	NA	NA	91143	NM_005715	10090	Hs.657370	NM_005715	ENSG00000111962	UST	2OST	uronyl 2-sulfotransferase	protein-coding
MACS_peak_194	chr1	41269305	41270212	+	190.40	NA	NA	NA	20299	NM_004700	9132	Hs.473058	NM_004700	ENSG00000117013	KCNQ4	DFNA2|DFNA2A|KV7.4	potassium voltage-gated channel subfamily Q member 4	protein-coding
MACS_peak_1232	chr11	70104933	70105707	+	190.00	NA	NA	NA	-11476	NR_045286	8500	Hs.530749	NM_003626	ENSG00000131626	PPFIA1	LIP.1|LIP1|LIPRIN	PTPRF interacting protein alpha 1	protein-coding
MACS_peak_2246	chr15	44788838	44789231	+	189.78	NA	NA	NA	40064	NR_034171	645212	Hs.594287	NR_034170		EIF3J-DT	EIF3J-AS1	EIF3J divergent transcript	ncRNA
MACS_peak_4037	chr2	177502343	177503069	+	189.68	NA	NA	NA	224	NR_110599	102724224	Hs.663125	NR_110599	ENSG00000224577	LINC01117	-	long intergenic non-protein coding RNA 1117	ncRNA
MACS_peak_2235	chr15	41260839	41261371	+	189.62	NA	NA	NA	15436	NM_024111	79094	Hs.155569	NM_024111	ENSG00000128965	CHAC1	-	ChaC glutathione specific gamma-glutamylcyclotransferase 1	protein-coding
MACS_peak_1208	chr11	69080043	69080887	+	189.55	NA	NA	NA	18843	NM_001300924	26579	Hs.523848	NM_138768	ENSG00000172927	MYEOV	OCIM	myeloma overexpressed	protein-coding
MACS_peak_2006	chr14	74068613	74069510	+	189.51	NA	NA	NA	-8588	NM_001365789	641372	Hs.122038	NM_001037162	ENSG00000205669	ACOT6	C14orf42|c14_5530	acyl-CoA thioesterase 6	protein-coding
MACS_peak_927	chr10	103966891	103967438	+	189.33	NA	NA	NA	-18892	NM_152310	83401	Hs.302130	NM_152310	ENSG00000119915	ELOVL3	CIG-30|CIG30	ELOVL fatty acid elongase 3	protein-coding
MACS_peak_5891	chr6	27766671	27767492	+	189.11	NA	NA	NA	8628	NM_003519	8340	Hs.137594	NM_003519	ENSG00000185130	HIST1H2BL	H2B/c|H2BFC|dJ97D16.4	histone cluster 1 H2B family member l	protein-coding
MACS_peak_2722	chr16	80655427	80656086	+	188.99	NA	NA	NA	-49051	NR_104666	101928276	Hs.149769	NR_104665	ENSG00000260737	LINC01227	-	long intergenic non-protein coding RNA 1227	ncRNA
MACS_peak_7122	chr9	137230067	137230549	+	188.60	NA	NA	NA	12007	NM_002957	6256	Hs.590886	NM_002957	ENSG00000186350	RXRA	NR2B1	retinoid X receptor alpha	protein-coding
MACS_peak_888	chr10	94650872	94651316	+	188.57	NA	NA	NA	42817	NM_001319195	54536	Hs.655657	NM_019053	ENSG00000138190	EXOC6	EXOC6A|SEC15|SEC15L|SEC15L1|SEC15L3|Sec15p	exocyst complex component 6	protein-coding
MACS_peak_5846	chr6	14733005	14733724	+	188.47	NA	NA	NA	-447679	NR_108096	102216342	Hs.563409	NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
MACS_peak_1942	chr14	55569897	55570890	+	188.27	NA	NA	NA	-25577	NM_002306	3958	Hs.531081	NM_002306	ENSG00000131981	LGALS3	CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2	galectin 3	protein-coding
MACS_peak_549	chr1	212640258	212640679	+	188.23	NA	NA	NA	34206	NM_013349	29937	Hs.461787	NM_013349	ENSG00000117691	NENF	CIR2|SCIRP10|SPUF	neudesin neurotrophic factor	protein-coding
MACS_peak_2416	chr15	90527374	90528262	+	188.04	NA	NA	NA	-16738	NM_198526	374655	Hs.459311	NM_198526	ENSG00000140548	ZNF710	-	zinc finger protein 710	protein-coding
MACS_peak_5938	chr6	38404537	38405322	+	187.94	NA	NA	NA	-44443	NR_144472	101929425	Hs.665280	NR_144472	ENSG00000226533	BTBD9-AS1	-	BTBD9 antisense RNA 1	ncRNA
MACS_peak_2342	chr15	72523333	72524061	+	187.91	NA	NA	NA	-166	NM_182471	5315	Hs.534770	NM_002654	ENSG00000067225	PKM	CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1	pyruvate kinase M1/2	protein-coding
MACS_peak_7043	chr9	127024715	127025695	+	187.72	NA	NA	NA	-1758	NR_149024	613206	Hs.197071	NM_001033016	ENSG00000235204	LOC613206	-	uncharacterized LOC613206	ncRNA
MACS_peak_1755	chr13	32642239	32642727	+	187.69	NA	NA	NA	36572	NM_023037	10129	Hs.507669	NM_023037	ENSG00000073910	FRY	13CDNA73|214K23.2|C13orf14|CG003|bA207N4.2|bA37E23.1	FRY microtubule binding protein	protein-coding
MACS_peak_6374	chr7	100995488	100996342	+	187.41	NA	NA	NA	-10186	NM_133457	136227	Hs.654854	NM_133457	ENSG00000160963	COL26A1	EMI6|EMID2|EMU2|SH2B	collagen type XXVI alpha 1 chain	protein-coding
MACS_peak_4540	chr21	44829031	44829986	+	187.38	NA	NA	NA	17503	NM_173354	150094	Hs.282113	NM_173354	ENSG00000142178	SIK1	MSK|SIK|SIK-1|SIK1B|SNF1LK	salt inducible kinase 1	protein-coding
MACS_peak_1508	chr12	53010884	53011759	+	187.24	NA	NA	NA	1022	NM_175068	319101	Hs.55410	NM_175068	ENSG00000186049	KRT73	IRT6IRS3|K6IRS3|KRT6IRS3	keratin 73	protein-coding
MACS_peak_4003	chr2	169466155	169466602	+	187.18	NA	NA	NA	26925	NR_039933	100616356		NR_039933	ENSG00000265694	MIR4774	-	microRNA 4774	ncRNA
MACS_peak_1028	chr10	134363060	134363410	+	186.92	NA	NA	NA	11944	NM_005539	3632	Hs.523360	NM_005539	ENSG00000068383	INPP5A	5PTASE	inositol polyphosphate-5-phosphatase A	protein-coding
MACS_peak_2701	chr16	75735026	75735755	+	186.83	NA	NA	NA	-31	NM_001351308	100033411		NM_001351307	ENSG00000282757	DUXB	-	double homeobox B	protein-coding
MACS_peak_3743	chr2	65202368	65202944	+	186.67	NA	NA	NA	-12957	NM_001348406	6509	Hs.654352	NM_003038	ENSG00000115902	SLC1A4	ASCT1|SATT|SPATCCM	solute carrier family 1 member 4	protein-coding
MACS_peak_5729	chr5	142236814	142237451	+	186.54	NA	NA	NA	11343	NR_046680	100874239	Hs.570896	NR_046680	ENSG00000226272	ARHGAP26-AS1	-	ARHGAP26 antisense RNA 1	ncRNA
MACS_peak_274	chr1	67896162	67896664	+	186.44	NA	NA	NA	-328	NM_001018068	26135	Hs.530412	NM_015640	ENSG00000142864	SERBP1	CGI-55|CHD3IP|HABP4L|PAI-RBP1|PAIRBP1	SERPINE1 mRNA binding protein 1	protein-coding
MACS_peak_4861	chr3	36953472	36953903	+	186.20	NA	NA	NA	32858	NM_001329998	9881	Hs.170999	NM_014831	ENSG00000168016	TRANK1	LBA1	tetratricopeptide repeat and ankyrin repeat containing 1	protein-coding
MACS_peak_4992	chr3	89620157	89620723	+	186.14	NA	NA	NA	463669	NM_182644	2042	Hs.123642	NM_005233	ENSG00000044524	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3	protein-coding
MACS_peak_5259	chr4	3688501	3688933	+	186.00	NA	NA	NA	-9135	NR_034136	100133461	Hs.554274	NR_034136	ENSG00000250632	LINC02171	-	long intergenic non-protein coding RNA 2171	ncRNA
MACS_peak_5318	chr4	40324616	40325352	+	185.82	NA	NA	NA	6483	NR_121640	101060498	Hs.351492	NR_121640	ENSG00000249241	LINC02265	-	long intergenic non-protein coding RNA 2265	ncRNA
MACS_peak_4896	chr3	50164363	50165083	+	185.76	NA	NA	NA	-26302	NR_045388	100775107	Hs.439480	NR_045388	ENSG00000281691	RBM5-AS1	LUST	RBM5 antisense RNA 1	ncRNA
MACS_peak_5839	chr6	13455817	13456487	+	185.69	NA	NA	NA	16143	NR_038459	54438	Hs.484686	NM_018988	ENSG00000145990	GFOD1	ADG-90|C6orf114	glucose-fructose oxidoreductase domain containing 1	protein-coding
MACS_peak_3347	chr19	7463606	7464040	+	185.61	NA	NA	NA	3792	NM_015318	23370	Hs.465761	NM_015318	ENSG00000104880	ARHGEF18	P114-RhoGEF|RP78|SA-RhoGEF|p114RhoGEF	Rho/Rac guanine nucleotide exchange factor 18	protein-coding
MACS_peak_4917	chr3	57179714	57180148	+	185.61	NA	NA	NA	19450	NM_017563	54756	Hs.150725	NM_017563	ENSG00000144730	IL17RD	HH18|IL-17RD|IL17RLM|SEF	interleukin 17 receptor D	protein-coding
MACS_peak_2690	chr16	72969562	72970502	+	185.57	NA	NA	NA	111995	NM_006885	463	Hs.598297	NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ZNF927	zinc finger homeobox 3	protein-coding
MACS_peak_1567	chr12	92277202	92278127	+	185.35	NA	NA	NA	257825	NR_046159	256021	Hs.651357	NM_001256373	ENSG00000257242	LINC01619	C12orf79	long intergenic non-protein coding RNA 1619	ncRNA
MACS_peak_1861	chr13	113667550	113668121	+	185.32	NA	NA	NA	11807	NM_001320817	23263	Hs.170422	NM_024979	ENSG00000126217	MCF2L	ARHGEF14|DBS|OST	MCF.2 cell line derived transforming sequence like	protein-coding
MACS_peak_4059	chr2	193302578	193303461	+	185.18	NA	NA	NA	-243360	NM_001305145	23671	Hs.144513	NM_016192	ENSG00000144339	TMEFF2	CT120.2|HPP1|TENB2|TPEF|TR|TR-2	transmembrane protein with EGF like and two follistatin like domains 2	protein-coding
MACS_peak_6851	chr9	13094272	13094882	+	185.13	NA	NA	NA	-121945	NR_132976	106635615		NR_132976		SNORD137	-	small nucleolar RNA, C/D box 137	snoRNA
MACS_peak_894	chr10	95330732	95331194	+	185.13	NA	NA	NA	4541	NM_001195755	338557	Hs.661022	NM_181745	ENSG00000186188	FFAR4	BMIQ10|GPR120|GPR129|GT01|O3FAR1|PGR4	free fatty acid receptor 4	protein-coding
MACS_peak_7205	chrX	37852991	37853520	+	185.13	NA	NA	NA	3223	NM_012274	25763	Hs.122959	NM_012274	ENSG00000187516	HYPM	CXorf27|HIP17	huntingtin interacting protein M	protein-coding
MACS_peak_844	chr10	79342297	79342876	+	185.13	NA	NA	NA	54980	NM_001322837	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
MACS_peak_761	chr10	48328754	48329434	+	185.13	NA	NA	NA	3103	NR_134500	107001062	Hs.576719	NR_134500		LOC107001062	-	uncharacterized LOC107001062	ncRNA
MACS_peak_2965	chr17	47049680	47050277	+	185.13	NA	NA	NA	-4020	NM_004123	2695	Hs.1454	NM_004123	ENSG00000159224	GIP	-	gastric inhibitory polypeptide	protein-coding
MACS_peak_2980	chr17	48756309	48756927	+	185.13	NA	NA	NA	28657	NM_052855	91369	Hs.463426	NM_052855	ENSG00000154945	ANKRD40	-	ankyrin repeat domain 40	protein-coding
MACS_peak_1870	chr13	114797701	114798156	+	185.13	NA	NA	NA	45502	NM_001320822	22821	Hs.593075	NM_007368	ENSG00000185989	RASA3	GAP1IP4BP|GAPIII	RAS p21 protein activator 3	protein-coding
MACS_peak_1322	chr11	94578728	94579254	+	185.07	NA	NA	NA	77469	NM_130847	154810	Hs.503594	NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding
MACS_peak_5855	chr6	15761038	15761763	+	185.06	NA	NA	NA	-98111	NM_001271669	84062	Hs.571148	NM_032122	ENSG00000047579	DTNBP1	BLOC1S8|DBND|HPS7|My031|SDY	dystrobrevin binding protein 1	protein-coding
